ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD,DWELLINGS
CAN,Canada,Com,MUR,COM4-URML-LC,1375.0,1486953183.0,2695646270.0,1652170115.0,0.0,1931875.0,5834769568.0,1405.0,3020.262474538984,
CAN,Canada,Com,MUR,COM4-URML-PC,22757.0,22431297179.0,40664931997.0,24923663495.0,0.0,31973585.0,88019892671.0,1405.0,2752.894073998896,
CAN,Canada,Com,MUR,COM4-URMM-LC,464.0,1188080388.0,2153830400.0,1320089600.0,400.2,1585952.0,4662000388.0,3418.0,2939.5595755735358,
CAN,Canada,Com,MUR,COM4-URMM-PC,8039.0,18438304809.0,33426170112.0,20487007488.0,6699.7,27477302.0,72351482409.0,3418.0,2633.1363395503677,
CAN,Canada,Com,MUR,COM5-URML-LC,17.0,5177196.0,9385560.0,5752440.0,3.4000000000000004,7106.0,20315196.0,418.0,2858.8792569659445,
CAN,Canada,Com,MUR,COM5-URML-PC,464.0,125232836.0,227030670.0,139147830.0,85.7,193952.0,491411336.0,418.0,2533.675012374196,
CAN,Canada,Com,MUR,COM5-URMM-LC,2.0,529416.0,959760.0,588240.0,0.4,836.0,2077416.0,418.0,2484.9473684210525,
CAN,Canada,Com,MUR,COM5-URMM-PC,43.0,11799489.0,21390930.0,13110570.0,8.5,17974.0,46300989.0,418.0,2575.9980527428506,
CAN,Canada,Com,MUR,COM6-URMM-LC,3.0,41743281.0,75674954.0,46381423.0,232.9,21234.0,163799658.0,7078.0,7714.027408872563,
CAN,Canada,Com,MUR,COM6-URMM-PC,61.0,731106722.0,1325398176.0,812340820.0,4527.9,431758.0,2868845718.0,7078.0,6644.568758424858,
CAN,Canada,Com,MUR,COM7-URML-LC,166.0,130745130.0,237023520.0,145272480.0,14.600000000000001,104746.0,513041130.0,631.0,4897.954384892979,
CAN,Canada,Com,MUR,COM7-URML-PC,2019.0,1424154715.0,2581802512.0,1582395088.0,167.60000000000002,1273989.0,5588352315.0,631.0,4386.499659730186,
CAN,Canada,Com,MUR,COM7-URMM-LC,9.0,24742190.0,44854272.0,27491328.0,3.6,26253.0,97087790.0,2917.0,3698.159829352836,
CAN,Canada,Com,MUR,COM7-URMM-PC,460.0,1228948149.0,2227917920.0,1365498080.0,183.5,1341820.0,4822364149.0,2917.0,3593.8979512900387,
CAN,Canada,Com,OT,COM1-MH-HC,8.0,3531036.0,6401291.0,3923371.0,1.5,6312.0,13855698.0,789.0,2195.135931558935,
CAN,Canada,Com,OT,COM1-MH-LC,7.0,2984520.0,5410529.0,3316129.0,1.2000000000000002,5523.0,11711178.0,789.0,2120.4378055404673,
CAN,Canada,Com,OT,COM1-MH-MC,5.0,2220948.0,4026278.0,2467718.0,0.9,3945.0,8714944.0,789.0,2209.111280101394,
CAN,Canada,Com,OT,COM1-MH-PC,15.0,6461292.0,11713447.0,7179207.0,2.5,11835.0,25353946.0,789.0,2142.285255597803,
CAN,Canada,Com,OT,COM1-W3-HC,466.0,207106308.0,375455777.0,230118017.0,81.3,367674.0,812680102.0,789.0,2210.32790461115,
CAN,Canada,Com,OT,COM1-W3-LC,3002.0,1197423215.0,2170766845.0,1330469629.0,514.0,2368578.0,4698659689.0,789.0,1983.7470790491172,
CAN,Canada,Com,OT,COM1-W3-MC,1330.0,551913134.0,1000543852.0,613236388.0,232.20000000000002,1049370.0,2165693374.0,789.0,2063.8034001353194,
CAN,Canada,Com,OT,COM1-W3-PC,12140.0,4814282885.0,8727645235.0,5349200487.0,1983.3,9578460.0,18891128607.0,789.0,1972.2511350467612,
CAN,Canada,Com,OT,COM2-MH-HC,5.0,3693600.0,6696000.0,4104000.0,0.0,10450.0,14493600.0,2090.0,1386.9473684210527,
CAN,Canada,Com,OT,COM2-MH-LC,2.0,1354320.0,2455200.0,1504800.0,0.0,4180.0,5314320.0,2090.0,1271.3684210526317,
CAN,Canada,Com,OT,COM2-MH-MC,11.0,8002800.0,14508000.0,8892000.0,0.0,22990.0,31402800.0,2090.0,1365.933014354067,
CAN,Canada,Com,OT,COM2-MH-PC,22.0,15636240.0,28346400.0,17373600.0,0.0,45980.0,61356240.0,2090.0,1334.4114832535886,
CAN,Canada,Com,OT,COM2-W3-HC,86.0,63529920.0,115171200.0,70588800.0,0.0,179740.0,249289920.0,2090.0,1386.9473684210527,
CAN,Canada,Com,OT,COM2-W3-LC,902.0,540973853.0,980712900.0,601082100.0,0.0,1885180.0,2122768853.0,2090.0,1126.0297971546483,
CAN,Canada,Com,OT,COM2-W3-MC,367.0,240553393.0,436090950.0,267281550.0,0.0,767030.0,943925893.0,2090.0,1230.6244775302139,
CAN,Canada,Com,OT,COM2-W3-PC,2908.0,1762762691.0,3195652050.0,1958625450.0,0.0,6077720.0,6917040191.0,2090.0,1138.0978707475829,
CAN,Canada,Com,OT,COM3-MH-HC,2.0,319564.0,579328.0,355072.0,0.2,678.0,1253964.0,339.0,1849.504424778761,
CAN,Canada,Com,OT,COM3-MH-LC,6.0,584202.0,1059084.0,649116.0,0.5,2034.0,2292402.0,339.0,1127.0412979351033,
CAN,Canada,Com,OT,COM3-MH-MC,5.0,798910.0,1448320.0,887680.0,0.5,1695.0,3134910.0,339.0,1849.504424778761,
CAN,Canada,Com,OT,COM3-MH-PC,17.0,2042212.0,3702268.0,2269132.0,1.5,5763.0,8013612.0,339.0,1390.5278500780844,
