ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDL+ERL/H:4-7/IND:2,PC2M/LC/IND2,TOTAL,4.0,5212440.0,1737481.0,0.0,4047.0,6949920.0,1842.0,0.0,1012.0,1288.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDL+ERL/H:>8/COM:3,PC2H/LC/COM4,TOTAL,3.0,164350533.0,41087634.0,0.0,65609.0,205438167.0,30244.0,0.0,21870.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/COM:1,PC2L/MC/COM1,TOTAL,89.0,173762616.0,43440636.0,0.0,69366.0,217203251.0,31788.0,0.0,779.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/COM:2,PC2L/MC/COM2,TOTAL,409.0,1533115236.0,383278727.0,0.0,612022.0,1916393969.0,280468.0,0.0,1496.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/COM:3,PC2L/MC/COM4,TOTAL,144.0,502337224.0,125584283.0,0.0,200534.0,627921572.0,91898.0,0.0,1393.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/COM:3A,PC2L/MC/COM5,TOTAL,1.0,1132481.0,283120.0,0.0,452.0,1415601.0,207.0,0.0,452.0,2505.0,,
CAN,Canada,IND,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/IND:1,PC2L/MC/IND1,TOTAL,13.0,26666927.0,8888975.0,0.0,20704.0,35555904.0,9386.0,0.0,1593.0,1288.0,,
CAN,Canada,IND,CR+,CR+PC/LDUAL/CDM+ERM/H:1-3/IND:2,PC2L/MC/IND2,TOTAL,108.0,141039839.0,47013275.0,0.0,109503.0,188053109.0,49641.0,0.0,1014.0,1288.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/COM:1,PC2M/MC/COM1,TOTAL,3.0,6529248.0,1632311.0,0.0,2606.0,8161559.0,1199.0,0.0,869.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/COM:2,PC2M/MC/COM2,TOTAL,25.0,129987225.0,32496795.0,0.0,51891.0,162484020.0,23860.0,0.0,2076.0,2505.0,,
