ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VGB,British Virgin Islands,Com,647.0,474819100.8041958,390321455.03496504,345192906.3986014,0.0,0.0,482295.0,1210333462.2377622,745.4327666151469,2509.5293590805672
VGB,British Virgin Islands,Ind,240.0,317032527.2727273,176645932.86713287,130753372.02797203,0.0,0.0,835981.9756502489,624431832.1678321,3483.2582318760374,746.9441331939394
VGB,British Virgin Islands,Res,7197.0,463676041.7255246,447798692.0244756,430925656.5996504,7480.0,30617.0,3814741.4041666663,1342400390.3496506,530.0460475429577,351.8981362362881
CYM,Cayman Islands,Com,964.0,3529550165.4,3059476065.4500003,2253458406.15,0.0,0.0,1696953.0,8842484637.0,1760.3246887966804,5210.801145936275
CYM,Cayman Islands,Ind,231.0,283487713.5681818,162535650.70909092,115100276.35909091,0.0,0.0,552927.8825396826,561123640.6363636,2393.627197141483,1014.8224720718309
CYM,Cayman Islands,Res,9327.0,945042129.3399546,1219566061.413,1029085535.1906818,14514.0,56328.0,10521935.7910101,3193693725.9436364,1128.1157704524605,303.5272015889239
CRI,Costa Rica,Com,32439.940440668503,9131880113.771276,6921858548.0409565,8107062507.272956,0.0,0.0,27313681.07685609,24160801103.32608,841.976918139287,884.5677386120773
CRI,Costa Rica,Ind,20591.89635016241,11193705505.603333,5607008508.702297,4632689124.458548,0.0,0.0,21111646.76160461,21433403160.038067,1025.2405316442894,1015.2407058561926
CRI,Costa Rica,Res,1442232.0,43272098371.21902,37696237929.87139,62019723262.69377,1475764.0,5087134.87524631,152218046.6389864,142988059563.78418,105.54338458652035,939.363385097873
CUB,Cuba,Com,113672.0,9830555902.0,10587538797.0,7933041230.0,0.0,0.0,37191782.0,28351135963.0,327.1850763600535,762.2957126119959
CUB,Cuba,Ind,70216.0,11743990464.0,7505120542.0,5947731916.0,0.0,0.0,37052822.0,25196842961.0,527.6977042269568,680.0249373988303
CUB,Cuba,Res,3160517.0,37171439950.988,55212328939.532,66255021714.581,3772076.0,11167328.0,331764694.8302434,158638790602.74,104.97165331818921,478.1665833488157
DMA,Dominica,Com,676.0,64652468.89952153,48361505.38277511,50731013.755980864,0.0,0.0,178884.00000000003,163744988.0382775,264.62130177514797,915.3696699440837
DMA,Dominica,Ind,954.0,35419325.9569378,18401325.358851675,17446968.301435407,0.0,0.0,117934.23777777777,71267619.61722487,123.6207943163289,604.2996585225208
DMA,Dominica,Res,16383.0,262043441.09748805,245519231.32177034,363102720.76255983,16863.0,73314.0,4038158.3487500004,870665393.1818181,246.48467000854546,215.6095224575158
DOM,Dominican Republic,Com,82160.11906597756,13224164180.46302,13385591678.859083,10337250844.66041,0.0,0.0,34981555.51931868,36947006622.72999,425.7729408988224,1056.1853546599975
