ID_2,PROVINCE,DISTRICT,AVG_HH_SIZE_2020
1180,ÇANAKKALE,BAYRAMİÇ,2.57
1190,ÇANAKKALE,BİGA,2.69
1205,ÇANAKKALE,BOZCAADA,2.40
1229,ÇANAKKALE,ÇAN,2.66
1293,ÇANAKKALE,ECEABAT,2.46
1326,ÇANAKKALE,EZİNE,2.59
1340,ÇANAKKALE,GELİBOLU,2.60
1408,ÇANAKKALE,GÖKÇEADA,2.62
1503,ÇANAKKALE,LAPSEKİ,2.68
1722,ÇANAKKALE,YENİCE,2.51
1232,ÇANKIRI,MERKEZ,3.09
1765,ÇANKIRI,ATKARACALAR,2.38
1885,ÇANKIRI,BAYRAMÖREN,1.95
1248,ÇANKIRI,ÇERKEŞ,2.52
1300,ÇANKIRI,ELDİVAN,2.40
1399,ÇANKIRI,ILGAZ,2.43
1817,ÇANKIRI,KIZILIRMAK,2.74
1963,ÇANKIRI,KORGUN,2.46
1494,ÇANKIRI,KURŞUNLU,2.37
1555,ÇANKIRI,ORTA,2.46
1649,ÇANKIRI,ŞABANÖZÜ,2.67
1718,ÇANKIRI,YAPRAKLI,2.39
1259,ÇORUM,MERKEZ,3.06
1124,ÇORUM,ALACA,2.93
1177,ÇORUM,BAYAT,2.93
1778,ÇORUM,BOĞAZKALE,2.67
1911,ÇORUM,DODURGA,2.47
1414,ÇORUM,İSKİLİP,2.70
1445,ÇORUM,KARGI,2.30
1972,ÇORUM,LAÇİN,2.53
1520,ÇORUM,MECİTÖZÜ,2.76
1976,ÇORUM,OĞUZLAR,2.77
1556,ÇORUM,ORTAKÖY,2.63
1558,ÇORUM,OSMANCIK,2.85
1642,ÇORUM,SUNGURLU,2.90
1850,ÇORUM,UĞURLUDAĞ,2.93
1102,DENİZLİ,ACIPAYAM,2.77
1769,DENİZLİ,BABADAĞ,3.04
1881,DENİZLİ,BAKLAN,2.63
1774,DENİZLİ,BEKİLLİ,2.29
1888,DENİZLİ,BEYAĞAÇ,2.78
1889,DENİZLİ,BOZKURT,2.66
1214,DENİZLİ,BULDAN,2.71
1224,DENİZLİ,ÇAL,2.41
1226,DENİZLİ,ÇAMELİ,2.55
1233,DENİZLİ,ÇARDAK,2.73
1257,DENİZLİ,ÇİVRİL,3.02
1371,DENİZLİ,GÜNEY,2.53
1803,DENİZLİ,HONAZ,3.22
1426,DENİZLİ,KALE,2.89
2079,DENİZLİ,MERKEZEFENDİ,3.14
1871,DENİZLİ,PAMUKKALE,2.94
1597,DENİZLİ,SARAYKÖY,2.96
1840,DENİZLİ,SERİNHİSAR,3.05
1670,DENİZLİ,TAVAS,2.72
2040,DİYARBAKIR,BAĞLAR,4.48
1195,DİYARBAKIR,BİSMİL,5.15
1249,DİYARBAKIR,ÇERMİK,4.57
1253,DİYARBAKIR,ÇINAR,5.08
1263,DİYARBAKIR,ÇÜNGÜŞ,3.31
1278,DİYARBAKIR,DİCLE,5.02
1791,DİYARBAKIR,EĞİL,5.01
1315,DİYARBAKIR,ERGANİ,4.43
1381,DİYARBAKIR,HANİ,5.47
1389,DİYARBAKIR,HAZRO,4.55
2041,DİYARBAKIR,KAYAPINAR,4.41
1962,DİYARBAKIR,KOCAKÖY,5.59
1490,DİYARBAKIR,KULP,4.29
1504,DİYARBAKIR,LİCE,4.66
1624,DİYARBAKIR,SİLVAN,4.96
2042,DİYARBAKIR,SUR,4.70
2043,DİYARBAKIR,YENİŞEHİR,4.15
1295,EDİRNE,MERKEZ,2.77
1307,EDİRNE,ENEZ,2.55
1385,EDİRNE,HAVSA,2.67
1412,EDİRNE,İPSALA,2.82
1464,EDİRNE,KEŞAN,2.81
1502,EDİRNE,LALAPAŞA,2.73
1523,EDİRNE,MERİÇ,2.44
1988,EDİRNE,SÜLOĞLU,2.65
1705,EDİRNE,UZUNKÖPRÜ,2.68
1298,ELAZIĞ,MERKEZ,3.34
1110,ELAZIĞ,AĞIN,2.22
1873,ELAZIĞ,ALACAKAYA,3.41
1762,ELAZIĞ,ARICAK,4.07
1173,ELAZIĞ,BASKİL,2.56
1438,ELAZIĞ,KARAKOÇAN,3.38
1455,ELAZIĞ,KEBAN,2.73
1820,ELAZIĞ,KOVANCILAR,3.78
1506,ELAZIĞ,MADEN,2.59
1566,ELAZIĞ,PALU,3.51
1631,ELAZIĞ,SİVRİCE,2.69
1318,ERZİNCAN,MERKEZ,3.07
1243,ERZİNCAN,ÇAYIRLI,3.06
1406,ERZİNCAN,İLİÇ,2.83
1459,ERZİNCAN,KEMAH,2.07
1460,ERZİNCAN,KEMALİYE,2.19
1977,ERZİNCAN,OTLUKBELİ,3.31
1583,ERZİNCAN,REFAHİYE,2.42
1675,ERZİNCAN,TERCAN,3.12
1853,ERZİNCAN,ÜZÜMLÜ,2.95
1153,ERZURUM,AŞKALE,3.52
1945,ERZURUM,AZİZİYE,3.73
1235,ERZURUM,ÇAT,4.03
1392,ERZURUM,HINIS,4.14
1396,ERZURUM,HORASAN,4.25
1416,ERZURUM,İSPİR,2.62
1812,ERZURUM,KARAÇOBAN,4.94
1444,ERZURUM,KARAYAZI,4.36
1967,ERZURUM,KÖPRÜKÖY,4.22
1540,ERZURUM,NARMAN,3.40
1550,ERZURUM,OLTU,3.03
1551,ERZURUM,OLUR,2.37
2044,ERZURUM,PALANDÖKEN,4.07
1567,ERZURUM,PASİNLER,4.03
1865,ERZURUM,PAZARYOLU,2.58
1657,ERZURUM,ŞENKAYA,2.90
1674,ERZURUM,TEKMAN,4.46
1683,ERZURUM,TORTUM,2.93
1851,ERZURUM,UZUNDERE,2.63
2045,ERZURUM,YAKUTİYE,3.69
1759,ESKİŞEHİR,ALPU,2.72
1777,ESKİŞEHİR,BEYLİKOVA,2.51
1255,ESKİŞEHİR,ÇİFTELER,2.83
1934,ESKİŞEHİR,GÜNYÜZÜ,2.46
1939,ESKİŞEHİR,HAN,2.19
1808,ESKİŞEHİR,İNÖNÜ,2.58
1508,ESKİŞEHİR,MAHMUDİYE,2.96
1973,ESKİŞEHİR,MİHALGAZİ,2.40
1527,ESKİŞEHİR,MİHALIÇÇIK,2.22
2046,ESKİŞEHİR,ODUNPAZARI,2.78
1599,ESKİŞEHİR,SARICAKAYA,2.56
1618,ESKİŞEHİR,SEYİTGAZİ,2.48
1632,ESKİŞEHİR,SİVRİHİSAR,2.58
2047,ESKİŞEHİR,TEPEBAŞI,2.61
1139,GAZİANTEP,ARABAN,4.29
1415,GAZİANTEP,İSLAHİYE,3.84
1956,GAZİANTEP,KARKAMIŞ,3.80
1546,GAZİANTEP,NİZİP,3.96
1974,GAZİANTEP,NURDAĞI,4.03
1549,GAZİANTEP,OĞUZELİ,3.86
1841,GAZİANTEP,ŞAHİNBEY,3.86
1844,GAZİANTEP,ŞEHİTKAMİL,4.31
1720,GAZİANTEP,YAVUZELİ,4.56
1352,GİRESUN,MERKEZ,2.83
1133,GİRESUN,ALUCRA,2.25
1212,GİRESUN,BULANCAK,2.93
1893,GİRESUN,ÇAMOLUK,2.10
1894,GİRESUN,ÇANAKÇI,2.43
1272,GİRESUN,DERELİ,2.55
1912,GİRESUN,DOĞANKENT,2.96
1320,GİRESUN,ESPİYE,2.85
1324,GİRESUN,EYNESİL,2.61
1361,GİRESUN,GÖRELE,2.45
1930,GİRESUN,GÜCE,2.77
1465,GİRESUN,KEŞAP,2.47
1837,GİRESUN,PİRAZİZ,2.58
1654,GİRESUN,ŞEBİNKARAHİSAR,2.70
1678,GİRESUN,TİREBOLU,2.58
1854,GİRESUN,YAĞLIDERE,2.72
1369,GÜMÜŞHANE,MERKEZ,2.91
1458,GÜMÜŞHANE,KELKİT,2.93
1822,GÜMÜŞHANE,KÖSE,3.01
1971,GÜMÜŞHANE,KÜRTÜN,2.82
1660,GÜMÜŞHANE,ŞİRAN,2.86
1684,GÜMÜŞHANE,TORUL,2.55
1377,HAKKARİ,MERKEZ,4.47
1261,HAKKARİ,ÇUKURCA,5.07
2107,HAKKARİ,DERECİK,6.67
1656,HAKKARİ,ŞEMDİNLİ,5.02
1737,HAKKARİ,YÜKSEKOVA,5.52
1131,HATAY,ALTINÖZÜ,4.10
2080,HATAY,ANTAKYA,3.79
2081,HATAY,ARSUZ,3.48
1887,HATAY,BELEN,3.32
2082,HATAY,DEFNE,3.64
1289,HATAY,DÖRTYOL,3.68
1792,HATAY,ERZİN,3.68
1382,HATAY,HASSA,3.72
1413,HATAY,İSKENDERUN,3.40
1468,HATAY,KIRIKHAN,3.92
1970,HATAY,KUMLU,4.28
2083,HATAY,PAYAS,3.65
1585,HATAY,REYHANLI,5.01
1591,HATAY,SAMANDAĞ,3.75
1721,HATAY,YAYLADAĞI,3.52
1401,ISPARTA,MERKEZ,2.89
1755,ISPARTA,AKSU,2.27
1154,ISPARTA,ATABEY,2.64
1297,ISPARTA,EĞİRDİR,2.88
1341,ISPARTA,GELENDOST,2.99
1929,ISPARTA,GÖNEN,2.60
1456,ISPARTA,KEÇİBORLU,2.56
1615,ISPARTA,SENİRKENT,2.68
1648,ISPARTA,SÜTÇÜLER,2.38
1651,ISPARTA,ŞARKİKARAAĞAÇ,2.86
1699,ISPARTA,ULUBORLU,2.49
1717,ISPARTA,YALVAÇ,2.92
2001,ISPARTA,YENİŞARBADEMLİ,2.21
2064,MERSİN,AKDENİZ,3.79
1135,MERSİN,ANAMUR,2.98
1766,MERSİN,AYDINCIK,2.81
1779,MERSİN,BOZYAZI,3.04
1892,MERSİN,ÇAMLIYAYLA,2.45
1311,MERSİN,ERDEMLİ,3.22
1366,MERSİN,GÜLNAR,2.53
2065,MERSİN,MEZİTLİ,2.97
1536,MERSİN,MUT,2.90
1621,MERSİN,SİLİFKE,2.79
1665,MERSİN,TARSUS,3.52
2066,MERSİN,TOROSLAR,3.57
2067,MERSİN,YENİŞEHİR,3.10
1103,İSTANBUL,ADALAR,2.41
2048,İSTANBUL,ARNAVUTKÖY,3.98
2049,İSTANBUL,ATAŞEHİR,3.06
2003,İSTANBUL,AVCILAR,3.29
2004,İSTANBUL,BAĞCILAR,3.86
2005,İSTANBUL,BAHÇELİEVLER,3.35
1166,İSTANBUL,BAKIRKÖY,2.84
2050,İSTANBUL,BAŞAKŞEHİR,3.68
1886,İSTANBUL,BAYRAMPAŞA,3.32
1183,İSTANBUL,BEŞİKTAŞ,2.39
1185,İSTANBUL,BEYKOZ,3.21
2051,İSTANBUL,BEYLİKDÜZÜ,3.27
1186,İSTANBUL,BEYOĞLU,2.99
1782,İSTANBUL,BÜYÜKÇEKMECE,3.20
1237,İSTANBUL,ÇATALCA,2.77
2052,İSTANBUL,ÇEKMEKÖY,3.33
2016,İSTANBUL,ESENLER,3.72
2053,İSTANBUL,ESENYURT,3.47
1325,İSTANBUL,EYÜPSULTAN,3.21
1327,İSTANBUL,FATİH,2.88
1336,İSTANBUL,GAZİOSMANPAŞA,3.51
2010,İSTANBUL,GÜNGÖREN,3.31
1421,İSTANBUL,KADIKÖY,2.39
1810,İSTANBUL,KAĞITHANE,3.17
1449,İSTANBUL,KARTAL,3.09
1823,İSTANBUL,KÜÇÜKÇEKMECE,3.35
2012,İSTANBUL,MALTEPE,2.91
1835,İSTANBUL,PENDİK,3.35
2054,İSTANBUL,SANCAKTEPE,3.63
1604,İSTANBUL,SARIYER,2.99
1622,İSTANBUL,SİLİVRİ,3.07
2014,İSTANBUL,SULTANBEYLİ,4.13
2055,İSTANBUL,SULTANGAZİ,4.00
1659,İSTANBUL,ŞİLE,2.58
1663,İSTANBUL,ŞİŞLİ,2.54
2015,İSTANBUL,TUZLA,3.24
1852,İSTANBUL,ÜMRANİYE,3.32
1708,İSTANBUL,ÜSKÜDAR,3.00
1739,İSTANBUL,ZEYTİNBURNU,3.57
1128,İZMİR,ALİAĞA,3.07
2006,İZMİR,BALÇOVA,2.62
1178,İZMİR,BAYINDIR,2.83
2056,İZMİR,BAYRAKLI,3.08
1181,İZMİR,BERGAMA,2.76
1776,İZMİR,BEYDAĞ,2.65
1203,İZMİR,BORNOVA,3.03
1780,İZMİR,BUCA,3.04
1251,İZMİR,ÇEŞME,2.67
2007,İZMİR,ÇİĞLİ,2.85
1280,İZMİR,DİKİLİ,2.38
1334,İZMİR,FOÇA,2.48
2009,İZMİR,GAZİEMİR,3.08
2018,İZMİR,GÜZELBAHÇE,2.87
2057,İZMİR,KARABAĞLAR,3.00
1432,İZMİR,KARABURUN,2.27
1448,İZMİR,KARŞIYAKA,2.59
1461,İZMİR,KEMALPAŞA,3.26
1467,İZMİR,KINIK,3.27
1477,İZMİR,KİRAZ,3.04
1819,İZMİR,KONAK,2.65
1826,İZMİR,MENDERES,3.03
1521,İZMİR,MENEMEN,3.24
2013,İZMİR,NARLIDERE,2.77
1563,İZMİR,ÖDEMİŞ,2.80
1611,İZMİR,SEFERİHİSAR,2.61
1612,İZMİR,SELÇUK,2.85
1677,İZMİR,TİRE,2.73
1682,İZMİR,TORBALI,3.32
1703,İZMİR,URLA,2.70
1447,KARS,MERKEZ,3.58
1756,KARS,AKYAKA,3.72
1149,KARS,ARPAÇAY,3.49
1279,KARS,DİGOR,4.29
1424,KARS,KAĞIZMAN,4.06
1601,KARS,SARIKAMIŞ,4.07
1614,KARS,SELİM,4.23
1645,KARS,SUSUZ,3.40
1450,KASTAMONU,MERKEZ,3.17
1101,KASTAMONU,ABANA,2.28
1867,KASTAMONU,AĞLI,2.81
1140,KASTAMONU,ARAÇ,2.51
1162,KASTAMONU,AZDAVAY,2.31
1208,KASTAMONU,BOZKURT,2.34
1221,KASTAMONU,CİDE,2.30
1238,KASTAMONU,ÇATALZEYTİN,2.21
1264,KASTAMONU,DADAY,2.80
1277,KASTAMONU,DEVREKANİ,2.90
1915,KASTAMONU,DOĞANYURT,2.73
1940,KASTAMONU,HANÖNÜ,2.42
1805,KASTAMONU,İHSANGAZİ,2.88
1410,KASTAMONU,İNEBOLU,2.89
1499,KASTAMONU,KÜRE,2.77
1836,KASTAMONU,PINARBAŞI,2.18
1984,KASTAMONU,SEYDİLER,3.13
1845,KASTAMONU,ŞENPAZAR,2.35
1666,KASTAMONU,TAŞKÖPRÜ,3.10
1685,KASTAMONU,TOSYA,2.72
1752,KAYSERİ,AKKIŞLA,2.62
1218,KAYSERİ,BÜNYAN,3.08
1275,KAYSERİ,DEVELİ,3.22
1330,KAYSERİ,FELAHİYE,2.60
1936,KAYSERİ,HACILAR,3.35
1409,KAYSERİ,İNCESU,3.37
1863,KAYSERİ,KOCASİNAN,3.40
1864,KAYSERİ,MELİKGAZİ,3.49
1978,KAYSERİ,ÖZVATAN,2.43
1576,KAYSERİ,PINARBAŞI,2.94
1603,KAYSERİ,SARIOĞLAN,2.87
1605,KAYSERİ,SARIZ,2.64
1846,KAYSERİ,TALAS,3.28
1680,KAYSERİ,TOMARZA,3.31
1715,KAYSERİ,YAHYALI,3.39
1727,KAYSERİ,YEŞİLHİSAR,2.81
1471,KIRKLARELİ,MERKEZ,2.78
1163,KIRKLARELİ,BABAESKİ,2.63
1270,KIRKLARELİ,DEMİRKÖY,2.68
1480,KIRKLARELİ,KOFÇAZ,2.24
1505,KIRKLARELİ,LÜLEBURGAZ,2.93
1572,KIRKLARELİ,PEHLİVANKÖY,2.25
1577,KIRKLARELİ,PINARHİSAR,2.56
1714,KIRKLARELİ,VİZE,2.66
1472,KIRŞEHİR,MERKEZ,3.18
1869,KIRŞEHİR,AKÇAKENT,2.50
1754,KIRŞEHİR,AKPINAR,2.74
1890,KIRŞEHİR,BOZTEPE,2.97
1254,KIRŞEHİR,ÇİÇEKDAĞI,2.77
1429,KIRŞEHİR,KAMAN,2.95
1529,KIRŞEHİR,MUCUR,2.90
2058,KOCAELİ,BAŞİSKELE,3.38
2059,KOCAELİ,ÇAYIROVA,3.60
2060,KOCAELİ,DARICA,3.61
2030,KOCAELİ,DERİNCE,3.31
2061,KOCAELİ,DİLOVASI,4.32
1338,KOCAELİ,GEBZE,3.52
1355,KOCAELİ,GÖLCÜK,3.13
2062,KOCAELİ,İZMİT,3.09
1430,KOCAELİ,KANDIRA,2.99
1440,KOCAELİ,KARAMÜRSEL,2.95
2063,KOCAELİ,KARTEPE,3.46
1821,KOCAELİ,KÖRFEZ,3.44
1868,KONYA,AHIRLI,2.94
1753,KONYA,AKÖREN,3.02
1122,KONYA,AKŞEHİR,3.02
1760,KONYA,ALTINEKİN,4.10
1188,KONYA,BEYŞEHİR,3.03
1207,KONYA,BOZKIR,2.73
1222,KONYA,CİHANBEYLİ,3.53
1902,KONYA,ÇELTİK,3.27
1262,KONYA,ÇUMRA,3.84
1907,KONYA,DERBENT,2.69
1789,KONYA,DEREBUCAK,2.46
1285,KONYA,DOĞANHİSAR,2.56
1920,KONYA,EMİRGAZİ,3.67
1312,KONYA,EREĞLİ,3.20
1933,KONYA,GÜNEYSINIR,3.12
1375,KONYA,HADİM,2.63
1937,KONYA,HALKAPINAR,2.74
1804,KONYA,HÜYÜK,2.55
1400,KONYA,ILGIN,3.07
1422,KONYA,KADINHANI,3.76
1441,KONYA,KARAPINAR,3.76
1814,KONYA,KARATAY,3.72
1491,KONYA,KULU,3.39
1827,KONYA,MERAM,3.55
1598,KONYA,SARAYÖNÜ,3.50
1839,KONYA,SELÇUKLU,3.39
1617,KONYA,SEYDİŞEHİR,3.04
1848,KONYA,TAŞKENT,2.59
1990,KONYA,TUZLUKÇU,3.00
1994,KONYA,YALIHÜYÜK,2.47
1735,KONYA,YUNAK,3.00
1500,KÜTAHYA,MERKEZ,2.98
1132,KÜTAHYA,ALTINTAŞ,3.06
1764,KÜTAHYA,ASLANAPA,3.23
1898,KÜTAHYA,ÇAVDARHİSAR,2.40
1288,KÜTAHYA,DOMANİÇ,2.63
1790,KÜTAHYA,DUMLUPINAR,2.43
1304,KÜTAHYA,EMET,2.55
1339,KÜTAHYA,GEDİZ,2.86
1802,KÜTAHYA,HİSARCIK,2.72
1979,KÜTAHYA,PAZARLAR,2.56
1625,KÜTAHYA,SİMAV,2.75
1843,KÜTAHYA,ŞAPHANE,2.39
1671,KÜTAHYA,TAVŞANLI,2.99
1114,MALATYA,AKÇADAĞ,3.17
1143,MALATYA,ARAPGİR,2.67
1148,MALATYA,ARGUVAN,2.48
1772,MALATYA,BATTALGAZİ,3.64
1265,MALATYA,DARENDE,3.06
1286,MALATYA,DOĞANŞEHİR,3.38
1914,MALATYA,DOĞANYOL,2.94
1390,MALATYA,HEKİMHAN,2.44
1953,MALATYA,KALE,2.83
1969,MALATYA,KULUNCAK,2.90
1582,MALATYA,PÜTÜRGE,2.95
