ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Com,RC,COM8-C2L-PC,3.4000000000000004,3941434,3559712,395523,0.0,1482.8084947408759,7896669,436.12014551202225,5325.481360544783
VIR,US Virgin Islands,Com,RC,COM8-PC1-MC,3.1,3638246,3285886,365099,0.0,1368.7458696575545,7289231,441.53092569598533,5325.48164095917
VIR,US Virgin Islands,Com,RC,COM8-PC1-PC,1.5,1456966,1316046,146228,0.0,548.2110322979163,2919240,365.4740215319442,5325.029647366869
VIR,US Virgin Islands,Com,S,COM1-S3-MC,84.3,126477391,89293039,37184352,0.0,94175.60538957783,252954782,1117.1483438858581,2685.9905062844846
VIR,US Virgin Islands,Com,S,COM1-S3-PC,31.3,46779309,33026193,13753116,0.0,34832.073226282206,93558618,1112.8457899770672,2685.990506284485
VIR,US Virgin Islands,Com,S,COM10-S3-MC,0.7,2992941,2923152,4552939,0.0,8047.034858156272,10469032,11495.76408308039,1300.9800733482411
VIR,US Virgin Islands,Com,S,COM10-S3-PC,0.30000000000000004,1106979,1081166,1683964,0.0,2976.3010485443106,3872108,9921.003495147701,1300.9799535883049
VIR,US Virgin Islands,Com,S,COM2-S3-MC,15.8,18931938,12797990,6133947,0.0,13446.172071821558,37863874,851.0235488494657,2815.9593524278444
VIR,US Virgin Islands,Com,S,COM2-S3-PC,5.7,6987600,4723620,2263981,0.0,4962.846765058635,13975199,870.6748710629184,2815.964236170585
VIR,US Virgin Islands,Com,S,COM3-S3-MC,22.2,13068826,10951674,2117147,0.0,7964.473384187002,26137649,358.76006235076585,3281.7799418973236
VIR,US Virgin Islands,Com,S,COM3-S3-PC,8.3,4833674,4050620,783055,0.0,2945.765030615136,9667351,354.91144947170307,3281.7794017947385
VIR,US Virgin Islands,Com,S,COM4-S3-MC,33.3,54737553,44227446,10509494,0.0,26468.73459612144,109474496,794.8568947784217,4135.992810779919
VIR,US Virgin Islands,Com,S,COM4-S3-PC,12.4,20223134,16340109,3882800,0.0,9779.036429927855,40446036,788.6319701554722,4135.9940000037805
VIR,US Virgin Islands,Com,S,COM5-S3-MC,1.9000000000000001,5439522,4688868,750653,0.0,1802.5728637368509,10879044,948.7225598615004,6035.2866831951715
VIR,US Virgin Islands,Com,S,COM5-S3-PC,0.8,1988593,1714168,274426,0.0,659.1009799201564,3977186,823.8762249001954,6034.258969667739
VIR,US Virgin Islands,Com,S,COM6-S3-MC,4.0,105203483,60316338,9818937,0.0,19773.125176205245,175338758,4943.281294051311,8867.528852292944
VIR,US Virgin Islands,Com,S,COM6-S3-PC,1.5,38910877,22308781,3631663,0.0,7313.347617705103,64851322,4875.565078470069,8867.52898809288
VIR,US Virgin Islands,Com,S,COM7-S3-MC,1.5,6934372,4071549,684934,0.0,1789.5404094371115,11690854,1193.026939624741,6532.880698501401
VIR,US Virgin Islands,Com,S,COM7-S3-PC,0.30000000000000004,1603703,957460,161068,0.0,420.81565086531225,2722232,1402.7188362177073,6468.9419093665965
VIR,US Virgin Islands,Com,S,COM8-S3-MC,30.1,34096548,30791513,3421280,0.0,12826.173516772198,68309342,426.1187214874484,5325.777162664688
VIR,US Virgin Islands,Com,S,COM8-S3-PC,10.9,12568495,11350341,1261149,0.0,4727.979393289942,25179984,433.7595773660497,5325.738947960733
VIR,US Virgin Islands,Com,W,COM1-W1-MC,254.4,381164740,269102306,112062434,0.0,283816.8929548921,762329480,1115.6324408604248,2685.990506284485
VIR,US Virgin Islands,Com,W,COM10-W1-MC,1.0,4224160,4125660,6425900,0.0,11357.37527967657,14775720,11357.37527967657,1300.9801680534745
VIR,US Virgin Islands,Com,W,COM2-W1-MC,126.0,152363190,102997515,49365675,0.0,108214.05490696769,304726380,858.8417056108547,2815.9593526180606
VIR,US Virgin Islands,Com,W,COM3-W1-MC,159.9,94627500,79297845,15329655,0.0,57668.41593379833,189255000,360.65300771606206,3281.779062862751
VIR,US Virgin Islands,Com,W,COM4-W1-MC,208.2,342779200,276962488,65812872,0.0,165753.32910421593,685554560,796.1255000202494,4135.992704972844
VIR,US Virgin Islands,Com,W,COM5-W1-MC,4.3,12870600,11094458,1776142,0.0,4265.117150706206,25741200,991.8877094665596,6035.285571402849
VIR,US Virgin Islands,Com,W,COM6-W1-MC,8.4,221714400,127115568,20693232,0.0,41671.49703975191,369523200,4960.892504732369,8867.528796661632
VIR,US Virgin Islands,Com,W,COM7-W1-MC,0.8,3513760,2074808,349032,0.0,911.9036869826938,5937600,1139.8796087283672,6511.213941514291
VIR,US Virgin Islands,Com,W,COM8-W1-MC,260.9,295814800,267140988,29682332,0.0,111277.30513694749,592638120,426.5132431465983,5325.777069013742
VIR,US Virgin Islands,Com,W,COM9-W1-MC,2.0,9414400,8265843,1148557,0.0,4202.942480699292,18828800,2101.471240349646,4479.909036696414
VIR,US Virgin Islands,Ind,MUR,IND1-URML-LC,296.40000000000003,616691181,346575948,64546173,0.0,263385.6739758373,1027813303,888.615634196482,3902.3128611554266
