ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
USA,United States,Com,138775741.0635,230593.9,304288686000,226645590600,58025072300,0.0,588959348900,39,Ohio,601.8187864618275,4243.964718808515
USA,United States,Ind,62189167.5065,67119.9,155010238500,91368205500,17016576200,0.0,263395020200,39,Ohio,926.5384410063186,4235.3842439275295
USA,United States,Res,658061138.8514,4197538.5,735886587229,1150224631590,321204886804,10790980.7125,2207316131889,39,Ohio,156.77310377293742,3354.2721208879116
USA,United States,Com,32274217.2372,62289.0,61596074800,45635261100,11679692700,0.0,118911028600,40,Oklahoma,518.1367053123345,3684.396982460056
USA,United States,Ind,10334754.4105,13898.6,22612305300,13464374300,2507758500,0.0,38584438100,40,Oklahoma,743.5824047386067,3733.464441186781
USA,United States,Res,249455601.6802,1457822.1,227118330661,352202163900,101838133677,3527169.1692,681158636719,40,Oklahoma,171.1152558876697,2730.5806409279985
USA,United States,Com,35706626.9735,75945.5,80161822000,60540532000,15362722700,0.0,156065076700,41,Oregon,470.1611941918876,4370.759433979164
USA,United States,Ind,11067517.4749,20192.1,27397260800,16670492800,3104756200,0.0,47172509800,41,Oregon,548.11126504425,4262.248503965088
USA,United States,Res,219718944.8027,1347077.9,218081034051,341180080449,94837555942,3541556.1105,654098682937,41,Oregon,163.107823833128,2976.978992523189
USA,United States,Com,136978613.6726,242593.4,333166771600,246386572900,61971154700,0.0,641524499200,42,Pennsylvania,564.642787778233,4683.391676990851
USA,United States,Ind,48678952.7778,59898.8,131006526300,78056488900,14536891200,0.0,223599906400,42,Pennsylvania,812.6866110472997,4593.359011247518
USA,United States,Res,696754071.6174,4677107.8,745096268174,1165812869453,324061170170,11793402.021,2234970356429,42,Pennsylvania,148.97113802196307,3207.688978753843
USA,United States,Com,12243165.6612,22272.9,31796774100,23460377200,5785891800,0.0,61043043100,44,Rhode Island,549.6888892420834,4985.887211626355
USA,United States,Ind,4731720.813,5959.9,12584221000,7472281700,1391694200,0.0,21448196900,44,Rhode Island,793.9262089967954,4532.853426405232
USA,United States,Res,57860012.5326,324748.1,67310627126,107142846004,27446387046,964341.9516,201899864761,44,Rhode Island,178.16890239727348,3489.4542175780516
USA,United States,Com,44024547.1021,83349.2,80589363400,59877551500,15495727000,0.0,155962641900,45,South Carolina,528.1939970881544,3542.6291050376412
USA,United States,Ind,16831956.1528,21441.7,34243683500,20494074900,3816862400,0.0,58554620800,45,South Carolina,785.0103374639139,3478.7769329032753
USA,United States,Res,291874532.705,1831288.1,270268305574,420714107451,119648444681,4330308.6705,810630872722,45,South Carolina,159.3820943329452,2777.326494399261
USA,United States,Com,8770986.3603,17491.6,16885493300,12469412800,3133132600,0.0,32488038700,46,South Dakota,501.4399117462097,3704.0347989879656
USA,United States,Ind,2104720.7412,3768.8,4188025400,2602133300,484615300,0.0,7274774000,46,South Dakota,558.4591225854383,3456.4081864144646
USA,United States,Res,46531486.4163,304864.2,47810463333,74471663045,21090840291,750974.4626,143372969517,46,South Dakota,152.63020852005582,3081.2033003694546
USA,United States,Com,70247335.9236,124615.3,136447281100,100902331400,26422164600,0.0,263771777100,47,Tennessee,563.7135722788454,3754.900789218176
USA,United States,Ind,24303436.8086,29988.9,52500093100,31294779100,5828534400,0.0,89623406600,47,Tennessee,810.4144136197059,3687.684474661868
USA,United States,Res,379019218.2054,2404696.9,364728622797,567439136435,161809636653,5963419.3348,1093977407169,47,Tennessee,157.61621275654326,2886.3375644876833
USA,United States,Com,217932122.0141,396944.6,404417044200,302582875400,79020098300,0.0,786020017900,48,Texas,549.024025050599,3606.7194254601222
USA,United States,Ind,60960690.9776,83752.4,135476491800,81221422100,15126563400,0.0,231824477300,48,Texas,727.8679891871756,3802.8518637556763
USA,United States,Res,1487911880.4855,7910089.8,1483069635130,2312583601831,652883338321,23513883.1559,4448536618988,48,Texas,188.10303272227077,2989.7849982463067
USA,United States,Com,22253017.4835,44046.1,42988245300,32411648100,8480810000,0.0,83880703400,49,Utah,505.2210634653238,3769.4080572306757
USA,United States,Ind,6821611.6496,11633.9,14855685000,9133075900,1700990200,0.0,25689751100,49,Utah,586.3563937802456,3765.9357377088995
USA,United States,Res,130710231.0425,810931.2,139525288634,216714716774,62267958939,2580344.7548,418507971728,49,Utah,161.18535215132925,3201.7996478938476
USA,United States,Com,7816466.1197,15651.7,16900410800,12695534800,3189799600,0.0,32785745200,50,Vermont,499.4004561613115,4194.44601920162
USA,United States,Ind,2548529.3403,4469.0,5824237900,3551055300,661362000,0.0,10036655200,50,Vermont,570.2683688297158,3938.2144993545717
USA,United States,Res,40410785.9338,268403.7,42257961042,66290020633,18199971788,584293.6388,126747956815,50,Vermont,150.55972005527494,3136.4882886127366
USA,United States,Com,75958572.2952,128199.8,153468857100,115695768500,29606010200,0.0,298770635800,51,Virginia,592.5014882644123,3933.3366435440494
USA,United States,Ind,20666295.7807,29793.8,44736335800,27389599900,5100958200,0.0,77226893900,51,Virginia,693.6441736435097,3736.852250615771
USA,United States,Res,507118791.6617,2735401.9,578185956794,901188435614,254980643096,7443781.1935,1734355059440,51,Virginia,185.3909627180196,3420.017337075909
USA,United States,Com,55008238.9149,109397.6,127302259500,96066090900,24248694600,0.0,247617045000,53,Washington,502.82857132971833,4501.453780097809
USA,United States,Ind,14288827.1265,26849.8,35476807600,21773449100,4055048400,0.0,61305305100,53,Washington,532.1762965273484,4290.436475804472
USA,United States,Res,388195693.69,2245527.7,413667590507,647681804926,179464328694,6237379.9284,1240813744415,53,Washington,172.87504121636974,3196.3614346682375
USA,United States,Com,15204162.0982,30805.3,35313055700,25777575200,6466952700,0.0,67557583600,54,West Virginia,493.55669635419883,4443.361177265931
USA,United States,Ind,4417806.5188,5642.6,11814475400,7117076200,1325504700,0.0,20257056300,54,West Virginia,782.9380992450288,4585.319935084523
USA,United States,Res,119991023.6033,799111.6,105558406546,163672959331,47340448100,1737914.8721,316571820143,54,West Virginia,150.1555272170996,2638.2958544433454
USA,United States,Com,35279186.29,63080.9,83356445900,62008956100,15523466400,0.0,160888868400,55,Wisconsin,559.2689116673985,4560.447258547017
USA,United States,Ind,16920661.8331,18779.6,44698102800,26293827300,4896897200,0.0,75888827300,55,Wisconsin,901.0128987358623,4484.979845856098
USA,United States,Res,188613164.2578,1165168.7,219867706992,345023998939,94592042169,2962846.7528,659483755233,55,Wisconsin,161.8762710136309,3496.4884759136175
USA,United States,Com,5659956.4742,13792.3,11099348000,8309967900,2076230000,0.0,21485545900,56,Wyoming,410.3707484755987,3796.062036508302
USA,United States,Ind,1410981.7668,3504.5,3149066700,1987718200,370220500,0.0,5507005400,56,Wyoming,402.6199933799401,3902.9600024452984
USA,United States,Res,33952427.6744,229369.7,33174611706,51473378946,14833578572,527235.9551,99481571410,56,Wyoming,148.02490335209924,2930.028225492951
