ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,TAXONOMY_HAZUS,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
AIA,Anguilla,IND,MR|MCF,MCF/LWAL/CDM+ERM/H:1/IND,TOTAL,14.0,7066204.0,2355402.0,0.0,7210.0,9421606.0,3411.0,0.0,515.0,980.0,,,
AIA,Anguilla,COM,S,S+SL/LFM/CDL+ERL/H:1/COM,TOTAL,291.0,24736028.0,6184007.0,0.0,19175.0,30920035.0,6670.0,0.0,66.0,1290.0,,,
AIA,Anguilla,IND,S,S+SL/LFM/CDL+ERL/H:1/IND,TOTAL,26.0,875292.0,375124.0,0.0,893.0,1250421.0,283.0,0.0,34.0,980.0,,,
AIA,Anguilla,COM,S,S+SR/LFINF/CDM+ERM/H:1/COM,TOTAL,19.0,4005173.0,1001293.0,0.0,3105.0,5006466.0,1080.0,0.0,163.0,1290.0,,,
AIA,Anguilla,IND,S,S+SR/LFINF/CDM+ERM/H:1/IND,TOTAL,6.0,3880248.0,1662965.0,0.0,3959.0,5543212.0,1255.0,0.0,660.0,980.0,,,
AIA,Anguilla,COM,S,S+SR/LFM/CDM+ERM/H:1/COM,TOTAL,29.0,6220598.0,1555151.0,0.0,4822.0,7775748.0,1677.0,0.0,166.0,1290.0,,,
AIA,Anguilla,IND,S,S+SR/LFM/CDM+ERM/H:1/IND,TOTAL,6.0,11809449.0,5061190.0,0.0,12050.0,16870646.0,3819.0,0.0,2008.0,980.0,,,
AIA,Anguilla,RES,W,W+WLI/LWAL/CDL+ERL/H:1/RES,TOTAL,39.0,11177297.0,2794322.0,140.0,10545.0,13971619.0,1062.0,39.0,270.0,1060.0,,,
AIA,Anguilla,COM,W,W+WLI/LWAL/CDM+ERM/H:2/COM,TOTAL,205.0,79048358.0,26349453.0,0.0,79847.0,105397809.0,13768.0,0.0,389.0,990.0,,,
ATG,Antigua and Barbuda,COM,CR+,CR+PCPS/LFM/CDM+ERM/H:1/COM,TOTAL,61.0,11881526.0,2096740.0,0.0,11001.0,13978265.0,5392.0,0.0,180.0,1080.0,,,
ATG,Antigua and Barbuda,IND,CR+,CR+PCPS/LFM/CDM+ERM/H:1/IND,TOTAL,11.0,35237376.0,11745792.0,0.0,35957.0,46983168.0,17009.0,0.0,3269.0,980.0,,,
ATG,Antigua and Barbuda,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,1023.0,198860728.0,35093070.0,0.0,184130.0,233953796.0,90244.0,0.0,180.0,1080.0,,,
ATG,Antigua and Barbuda,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,TOTAL,8743.0,3836598199.0,677046741.0,29619.0,3836598.0,4513644940.0,1399234.0,10491.0,439.0,1000.0,,,
ATG,Antigua and Barbuda,COM,CR+,CR/LFINF/CDM+ERM/H:2/COM,TOTAL,45.0,151152551.0,26673980.0,0.0,139956.0,177826530.0,68650.0,0.0,3110.0,1080.0,,,
ATG,Antigua and Barbuda,COM,CR+,CR/LFINF/CDM+ERM/H:4/COM,TOTAL,149.0,165604230.0,29224276.0,0.0,153337.0,194828506.0,75339.0,0.0,1029.0,1080.0,,,
ATG,Antigua and Barbuda,IND,CR-,CR/LFM/CDL+ERL/H:1/IND,TOTAL,310.0,19627650.0,6542551.0,0.0,20028.0,26170199.0,9474.0,0.0,65.0,980.0,,,
ATG,Antigua and Barbuda,RES,OT,INF/LN/CDN+ERN/H:1/RES,TOTAL,4039.0,654132205.0,163533051.0,11434.0,1090220.0,817665256.0,113558.0,4039.0,270.0,600.0,,,
ATG,Antigua and Barbuda,IND,MR|MCF,MCF/LWAL/CDL+ERL/H:1/IND,TOTAL,151.0,6707322.0,2235774.0,0.0,6844.0,8943094.0,3238.0,0.0,45.0,980.0,,,
ATG,Antigua and Barbuda,IND,MR|MCF,MCF/LWAL/CDM+ERM/H:1/IND,TOTAL,62.0,52542854.0,17514285.0,0.0,53615.0,70057139.0,25362.0,0.0,865.0,980.0,,,
ATG,Antigua and Barbuda,COM,S,S+SL/LFM/CDL+ERL/H:1/COM,TOTAL,372.0,26485448.0,6621362.0,0.0,24524.0,33106811.0,8531.0,0.0,66.0,1080.0,,,
ATG,Antigua and Barbuda,IND,S,S+SL/LFM/CDL+ERL/H:1/IND,TOTAL,147.0,10331011.0,4427576.0,0.0,10542.0,14758587.0,3341.0,0.0,72.0,980.0,,,
ATG,Antigua and Barbuda,COM,S,S+SR/LFINF/CDM+ERM/H:1/COM,TOTAL,386.0,68706031.0,17176508.0,0.0,63617.0,85882539.0,22129.0,0.0,165.0,1080.0,,,
ATG,Antigua and Barbuda,IND,S,S+SR/LFINF/CDM+ERM/H:1/IND,TOTAL,31.0,37777422.0,16190323.0,0.0,38548.0,53967747.0,12216.0,0.0,1243.0,980.0,,,
ATG,Antigua and Barbuda,COM,S,S+SR/LFM/CDM+ERM/H:1/COM,TOTAL,309.0,54981995.0,13745500.0,0.0,50909.0,68727494.0,17709.0,0.0,165.0,1080.0,,,
ATG,Antigua and Barbuda,IND,S,S+SR/LFM/CDM+ERM/H:1/IND,TOTAL,43.0,158752393.0,68036739.0,0.0,161992.0,226789133.0,51337.0,0.0,3767.0,980.0,,,
ATG,Antigua and Barbuda,RES,W,W+WLI/LWAL/CDL+ERL/H:2/RES,TOTAL,15149.0,2944816722.0,736204180.0,52165.0,4090023.0,3681020903.0,412337.0,18181.0,270.0,720.0,,,
ATG,Antigua and Barbuda,RES,W,W+WLI/LWAL/CDM+ERM/H:1/RES,TOTAL,345.0,66927647.0,16731912.0,991.0,92955.0,83659558.0,9365.0,345.0,269.0,720.0,,,
ATG,Antigua and Barbuda,COM,W,W+WLI/LWAL/CDM+ERM/H:2/COM,TOTAL,669.0,253185784.0,84395262.0,0.0,261016.0,337581047.0,45005.0,0.0,390.0,970.0,,,
ABW,Aruba,COM,CR+,CR+PCPS/LFM/CDM+ERM/H:1/COM,TOTAL,18.0,4587463.0,809553.0,0.0,3277.0,5397016.0,1606.0,0.0,182.0,1400.0,,,
ABW,Aruba,IND,CR+,CR+PCPS/LFM/CDM+ERM/H:1/IND,TOTAL,43.0,550954696.0,183651566.0,0.0,562199.0,734606263.0,265940.0,0.0,13074.0,980.0,,,
ABW,Aruba,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,302.0,76215083.0,13449722.0,0.0,54439.0,89664804.0,26681.0,0.0,180.0,1400.0,,,
ABW,Aruba,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,TOTAL,710.0,513816050.0,90673421.0,2584.0,446797.0,604489470.0,162830.0,710.0,629.0,1150.0,,,
ABW,Aruba,COM,CR+,CR/LFINF/CDM+ERM/H:2/COM,TOTAL,106.0,461286854.0,81403561.0,0.0,329491.0,542690415.0,161620.0,0.0,3108.0,1400.0,,,
ABW,Aruba,COM,CR+,CR/LFINF/CDM+ERM/H:4/COM,TOTAL,141.0,204341982.0,36060350.0,0.0,145959.0,240402332.0,71713.0,0.0,1035.0,1400.0,,,
ABW,Aruba,IND,CR-,CR/LFM/CDL+ERL/H:1/IND,TOTAL,150.0,2418874.0,806293.0,0.0,2468.0,3225163.0,1168.0,0.0,16.0,980.0,,,
ABW,Aruba,RES,CR+,CR/LFM/CDM+ERM/H:4/RES,TOTAL,292.0,150940940.0,26636636.0,10642.0,131253.0,177577576.0,47939.0,2924.0,449.0,1150.0,,,
ABW,Aruba,RES,CR+,CR/LFM/CDM+ERM/H:5/RES,TOTAL,6.0,4100396.0,723598.0,295.0,3566.0,4823993.0,1303.0,81.0,594.0,1150.0,,,
ABW,Aruba,IND,MR|MCF,MCF/LWAL/CDL+ERL/H:1/IND,TOTAL,150.0,1732265.0,577422.0,0.0,1768.0,2309688.0,836.0,0.0,12.0,980.0,,,
ABW,Aruba,IND,MR|MCF,MCF/LWAL/CDM+ERM/H:1/IND,TOTAL,38.0,125503217.0,41834406.0,0.0,128065.0,167337621.0,60579.0,0.0,3370.0,980.0,,,
ABW,Aruba,RES,MR|MCF,MR/LWAL/CDL+ERL/H:1/RES,TOTAL,2032.0,1374623198.0,242580563.0,7398.0,1195325.0,1617203762.0,545108.0,2032.0,588.0,1150.0,,,
ABW,Aruba,COM,S,S+SL/LFM/CDL+ERL/H:1/COM,TOTAL,151.0,13972764.0,3493192.0,0.0,9981.0,17465956.0,3472.0,0.0,66.0,1400.0,,,
ABW,Aruba,IND,S,S+SL/LFM/CDL+ERL/H:1/IND,TOTAL,299.0,5375270.0,2303688.0,0.0,5485.0,7678958.0,1738.0,0.0,18.0,980.0,,,
ABW,Aruba,COM,S,S+SR/LFINF/CDM+ERM/H:1/COM,TOTAL,76.0,17465956.0,4366489.0,0.0,12476.0,21832447.0,4340.0,0.0,164.0,1400.0,,,
ABW,Aruba,IND,S,S+SR/LFINF/CDM+ERM/H:1/IND,TOTAL,38.0,46482673.0,19921145.0,0.0,47431.0,66403819.0,15031.0,0.0,1248.0,980.0,,,
ABW,Aruba,COM,S,S+SR/LFM/CDM+ERM/H:1/COM,TOTAL,151.0,34931913.0,8732979.0,0.0,24951.0,43664892.0,8679.0,0.0,165.0,1400.0,,,
ABW,Aruba,IND,S,S+SR/LFM/CDM+ERM/H:1/IND,TOTAL,38.0,540889278.0,231809691.0,0.0,551928.0,772698971.0,174910.0,0.0,14524.0,980.0,,,
ABW,Aruba,RES,W,W+WLI/LWAL/CDL+ERL/H:1/RES,TOTAL,1015.0,537615604.0,134403900.0,3697.0,512015.0,672019505.0,51583.0,1015.0,504.0,1050.0,,,
ABW,Aruba,RES,W,W+WLI/LWAL/CDL+ERL/H:2/RES,TOTAL,19122.0,10119163531.0,2529790883.0,83530.0,9637299.0,12648954411.0,971588.0,22946.0,504.0,1050.0,,,
ABW,Aruba,COM,W,W+WLI/LWAL/CDM+ERM/H:2/COM,TOTAL,514.0,210519103.0,70173034.0,0.0,200494.0,280692137.0,34570.0,0.0,390.0,1050.0,,,
BHS,Bahamas,COM,CR+,CR+PCPS/LFM/CDM+ERM/H:1/COM,TOTAL,1126.0,474127508.0,83669560.0,0.0,303928.0,557797065.0,148957.0,0.0,270.0,1560.0,,,
BHS,Bahamas,IND,CR+,CR+PCPS/LFM/CDM+ERM/H:1/IND,TOTAL,72.0,1111980598.0,370660199.0,0.0,942356.0,1482640797.0,445769.0,0.0,13088.0,1180.0,,,
BHS,Bahamas,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,507.0,213686696.0,37709419.0,0.0,136979.0,251396113.0,67134.0,0.0,270.0,1560.0,,,
BHS,Bahamas,COM,CR+,CR/LFINF/CDM+ERM/H:2/COM,TOTAL,447.0,4515235866.0,796806330.0,0.0,2894382.0,5312042196.0,1419735.0,0.0,6475.0,1560.0,,,
BHS,Bahamas,COM,CR+,CR/LFINF/CDM+ERM/H:4/COM,TOTAL,860.0,2897248703.0,511279183.0,0.0,1857211.0,3408527889.0,912497.0,0.0,2160.0,1560.0,,,
BHS,Bahamas,IND,CR-,CR/LFM/CDL+ERL/H:1/IND,TOTAL,64.0,1246208.0,415403.0,0.0,1056.0,1661612.0,500.0,0.0,16.0,1180.0,,,
BHS,Bahamas,RES,OT,INF/LN/CDN+ERN/H:1/RES,TOTAL,12814.0,3718092616.0,929523152.0,43687.0,5996924.0,4647615768.0,624641.0,12814.0,468.0,620.0,,,
BHS,Bahamas,IND,MR|MCF,MCF/LWAL/CDL+ERL/H:1/IND,TOTAL,198.0,2761981.0,920660.0,0.0,2341.0,3682640.0,1107.0,0.0,12.0,1180.0,,,
BHS,Bahamas,IND,MR|MCF,MCF/LWAL/CDM+ERM/H:1/IND,TOTAL,193.0,769068276.0,256356091.0,0.0,651753.0,1025424367.0,308303.0,0.0,3377.0,1180.0,,,
BHS,Bahamas,RES,MR|MCF,MR/LWAL/CDL+ERL/H:1/RES,TOTAL,43047.0,32434713694.0,5723773003.0,134420.0,23503416.0,38158486701.0,10718340.0,43047.0,546.0,1380.0,,,
BHS,Bahamas,COM,S,S+SL/LFM/CDL+ERL/H:1/COM,TOTAL,350.0,36062036.0,9015509.0,0.0,23117.0,45077542.0,8041.0,0.0,66.0,1560.0,,,
BHS,Bahamas,IND,S,S+SL/LFM/CDL+ERL/H:1/IND,TOTAL,210.0,4537005.0,1944431.0,0.0,3845.0,6481433.0,1219.0,0.0,18.0,1180.0,,,
BHS,Bahamas,COM,S,S+SR/LFINF/CDM+ERM/H:1/COM,TOTAL,502.0,193812238.0,48453057.0,0.0,124239.0,242265295.0,43217.0,0.0,247.0,1560.0,,,
BHS,Bahamas,IND,S,S+SR/LFINF/CDM+ERM/H:1/IND,TOTAL,397.0,585233859.0,250814511.0,0.0,495961.0,836048369.0,157174.0,0.0,1249.0,1180.0,,,
BHS,Bahamas,COM,S,S+SR/LFM/CDM+ERM/H:1/COM,TOTAL,509.0,196701031.0,49175258.0,0.0,126090.0,245876290.0,43861.0,0.0,248.0,1560.0,,,
BHS,Bahamas,IND,S,S+SR/LFM/CDM+ERM/H:1/IND,TOTAL,199.0,3407382836.0,1460306930.0,0.0,2887613.0,4867689767.0,915108.0,0.0,14511.0,1180.0,,,
BHS,Bahamas,RES,W,W+WLI/LWAL/CDL+ERL/H:1/RES,TOTAL,51709.0,30009262273.0,7502315569.0,176684.0,24201018.0,37511577843.0,2438142.0,51709.0,468.0,1240.0,,,
BHS,Bahamas,COM,W,W+WLI/LWAL/CDM+ERM/H:2/COM,TOTAL,888.0,664682846.0,221560948.0,0.0,519283.0,886243795.0,89537.0,0.0,585.0,1280.0,,,
BRB,Barbados,COM,CR+,CR/LDUAL/CDH+ERH/H:12-24/COM,TOTAL,2.0,509716120.0,89949903.0,0.0,377567.0,599666023.0,196109.0,0.0,188784.0,1350.0,,,
BRB,Barbados,COM,CR+,CR/LDUAL/CDH+ERH/H:7/COM,TOTAL,16.0,585991635.0,103410288.0,0.0,434068.0,689401922.0,223397.0,0.0,27129.0,1350.0,,,
BRB,Barbados,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,TOTAL,1248.0,184313695.0,32525946.0,3685.0,191993.0,216839640.0,70021.0,1504.0,154.0,960.0,,,
BRB,Barbados,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,TOTAL,372.0,61312886.0,10819923.0,1781.0,63868.0,72132807.0,23310.0,744.0,172.0,960.0,,,
BRB,Barbados,RES,CR-,CR/LFINF/CDL+ERL/H:4/RES,TOTAL,33.0,27160125.0,4792962.0,750.0,28292.0,31953087.0,10333.0,331.0,857.0,960.0,,,
BRB,Barbados,RES,CR-,CR/LFINF/CDL+ERL/H:5/RES,TOTAL,29.0,29926124.0,5281081.0,827.0,31173.0,35207204.0,11394.0,360.0,1075.0,960.0,,,
BRB,Barbados,COM,CR-,CR/LFM/CDL+ERL/H:1/COM,TOTAL,135.0,19737845.0,3483150.0,0.0,14621.0,23220993.0,7166.0,0.0,108.0,1350.0,,,
BRB,Barbados,IND,CR-,CR/LFM/CDL+ERL/H:1/IND,TOTAL,508.0,118210228.0,39403411.0,0.0,102792.0,157613635.0,48624.0,0.0,202.0,1150.0,,,
BRB,Barbados,RES,CR-,CR/LFM/CDL+ERL/H:1/RES,TOTAL,2710.0,222462663.0,39258116.0,6495.0,231732.0,261720777.0,84452.0,2710.0,86.0,960.0,,,
BRB,Barbados,COM,CR-,CR/LFM/CDL+ERL/H:2/COM,TOTAL,36.0,20728338.0,3657942.0,0.0,15354.0,24386280.0,7532.0,0.0,426.0,1350.0,,,
BRB,Barbados,RES,CR-,CR/LFM/CDL+ERL/H:2/RES,TOTAL,2262.0,334232690.0,58982240.0,6499.0,348159.0,393214928.0,126976.0,2712.0,154.0,960.0,,,
BRB,Barbados,RES,OT,INF/LN/CDN+ERN/H:1/RES,TOTAL,281.0,14240352.0,3560088.0,768.0,19244.0,17800438.0,2004.0,281.0,68.0,740.0,,,
BRB,Barbados,COM,MR|MCF,MCF/LWAL/CDL+ERL/H:1/COM,TOTAL,1742.0,275168425.0,48559136.0,0.0,203828.0,323727561.0,99898.0,0.0,117.0,1350.0,,,
BRB,Barbados,IND,MR|MCF,MCF/LWAL/CDL+ERL/H:1/IND,TOTAL,540.0,460904691.0,153634898.0,0.0,400787.0,614539588.0,189587.0,0.0,742.0,1150.0,,,
BRB,Barbados,RES,MR|MCF,MCF/LWAL/CDL+ERL/H:1/RES,TOTAL,9953.0,1524979448.0,269114021.0,23869.0,1588520.0,1794093468.0,578919.0,9953.0,160.0,960.0,,,
BRB,Barbados,COM,MR|MCF,MCF/LWAL/CDL+ERL/H:2/COM,TOTAL,775.0,489870050.0,86447655.0,0.0,362867.0,576317706.0,177991.0,0.0,468.0,1350.0,,,
BRB,Barbados,RES,MR|MCF,MCF/LWAL/CDL+ERL/H:2/RES,TOTAL,9257.0,2552871695.0,450506770.0,26548.0,2659241.0,3003378463.0,969844.0,11111.0,287.0,960.0,,,
BRB,Barbados,COM,MR|MCF,MCF/LWAL/CDL+ERL/H:3/COM,TOTAL,516.0,732942973.0,129342878.0,0.0,542921.0,862285850.0,266531.0,0.0,1052.0,1350.0,,,
BRB,Barbados,RES,MR|MCF,MCF/LWAL/CDL+ERL/H:3/RES,TOTAL,575.0,177110056.0,31254715.0,2678.0,184490.0,208364771.0,67334.0,1155.0,321.0,960.0,,,
BRB,Barbados,RES,MR|MCF,MR/LWAL/CDL+ERL/H:1/RES,TOTAL,11435.0,1751973350.0,309171767.0,27213.0,1824972.0,2061145119.0,832248.0,11435.0,160.0,960.0,,,
BRB,Barbados,RES,MR|MCF,MR/LWAL/CDL+ERL/H:2/RES,TOTAL,10496.0,2894710879.0,510831331.0,29902.0,3015324.0,3405542210.0,1375876.0,12596.0,287.0,960.0,,,
BRB,Barbados,RES,MR|MCF,MR/LWAL/CDL+ERL/H:3/RES,TOTAL,575.0,177110056.0,31254715.0,2678.0,184490.0,208364771.0,84230.0,1155.0,321.0,960.0,,,
BRB,Barbados,RES,ADO|ST|E,MUR+ST/LWAL/CDN+ERN/H:1/RES,TOTAL,1787.0,249343869.0,44001860.0,4619.0,207787.0,293345730.0,94758.0,1787.0,116.0,1200.0,,,
BRB,Barbados,RES,ADO|ST|E,MUR+ST/LWAL/CDN+ERN/H:2/RES,TOTAL,152.0,26517580.0,4679574.0,472.0,22098.0,31197151.0,10083.0,183.0,145.0,1200.0,,,
BRB,Barbados,RES,MUR,MUR/LWAL/CDN+ERN/H:1/RES,TOTAL,11455.0,1109974952.0,277493737.0,28257.0,1109975.0,1387468691.0,506186.0,11455.0,97.0,1000.0,,,
BRB,Barbados,RES,MUR,MUR/LWAL/CDN+ERN/H:2/RES,TOTAL,11455.0,1664962427.0,416240607.0,33910.0,1664962.0,2081203034.0,759713.0,13746.0,145.0,1000.0,,,
BRB,Barbados,COM,S,S+SL/LFM/CDL+ERL/H:1/COM,TOTAL,365.0,48769637.0,12192409.0,0.0,36126.0,60962047.0,12566.0,0.0,99.0,1350.0,,,
BRB,Barbados,IND,S,S+SL/LFM/CDL+ERL/H:1/IND,TOTAL,464.0,119965135.0,51413629.0,0.0,104318.0,171378762.0,33059.0,0.0,225.0,1150.0,,,
BRB,Barbados,COM,S,S+SR/LFM/CDM+ERM/H:1/COM,TOTAL,280.0,187349700.0,46837424.0,0.0,138778.0,234187125.0,48274.0,0.0,496.0,1350.0,,,
BRB,Barbados,RES,W,W+WLI/LWAL/CDL+ERL/H:1/RES,TOTAL,6301.0,383564149.0,95891038.0,15762.0,430971.0,479455186.0,43418.0,6301.0,68.0,890.0,,,
BRB,Barbados,COM,W,W+WLI/LWAL/CDL+ERL/H:2/COM,TOTAL,289.0,139498036.0,46499344.0,0.0,135435.0,185997381.0,23352.0,0.0,469.0,1030.0,,,
BRB,Barbados,RES,W,W+WLI/LWAL/CDL+ERL/H:2/IRI(SOS)/RES,TOTAL,6014.0,549157177.0,137289295.0,18140.0,617031.0,686446470.0,62206.0,7218.0,103.0,890.0,,,
BRB,Barbados,RES,W,W+WLI/LWAL/CDL+ERL/H:2/RES,TOTAL,6301.0,575346225.0,143836556.0,18915.0,646456.0,719182778.0,65173.0,7562.0,103.0,890.0,,,
BRB,Barbados,RES,W,W+WS/LPB/CDN+ERM/H:1/RES,TOTAL,11499.0,700013792.0,175003448.0,28855.0,786532.0,875017240.0,81925.0,11499.0,68.0,890.0,,,
BLZ,Belize,COM,CR+,CR+PCPS/LFM/CDM+ERM/H:1/COM,TOTAL,32.0,5231620.0,923227.0,0.0,6540.0,6154847.0,3205.0,0.0,204.0,800.0,,,
BLZ,Belize,IND,CR+,CR+PCPS/LFM/CDM+ERM/H:1/IND,TOTAL,151.0,41416087.0,13805362.0,0.0,67895.0,55221449.0,32117.0,0.0,450.0,610.0,,,
BLZ,Belize,COM,CR+,CR+PCPS/LFM/CDM+ERM/H:2/COM,TOTAL,288.0,68969658.0,12171116.0,0.0,86212.0,81140777.0,42288.0,0.0,299.0,800.0,,,
BLZ,Belize,COM,CR+,CR/LDUAL/CDH+ERH/H:12-24/COM,TOTAL,3.0,175724896.0,31010276.0,0.0,219656.0,206735172.0,114090.0,0.0,73219.0,800.0,,,
BLZ,Belize,COM,CR+,CR/LDUAL/CDH+ERH/H:7/COM,TOTAL,15.0,119177878.0,21031390.0,0.0,148972.0,140209268.0,76670.0,0.0,9931.0,800.0,,,
BLZ,Belize,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,TOTAL,1360.0,127722405.0,22539248.0,9891.0,187827.0,150261653.0,68502.0,1631.0,138.0,680.0,,,
BLZ,Belize,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,TOTAL,812.0,85254511.0,15044912.0,9898.0,125374.0,100299423.0,45759.0,1633.0,154.0,680.0,,,
BLZ,Belize,RES,CR-,CR/LFINF/CDL+ERL/H:4/RES,TOTAL,160.0,83987330.0,14821294.0,9751.0,123511.0,98808624.0,45111.0,1608.0,772.0,680.0,,,
BLZ,Belize,RES,CR-,CR/LFINF/CDL+ERL/H:5/RES,TOTAL,128.0,83519333.0,14738705.0,9685.0,122823.0,98258040.0,44893.0,1597.0,960.0,680.0,,,
BLZ,Belize,COM,CR-,CR/LFM/CDL+ERL/H:1/COM,TOTAL,543.0,15535685.0,2741590.0,0.0,19420.0,18277277.0,9518.0,0.0,36.0,800.0,,,
BLZ,Belize,IND,CR-,CR/LFM/CDL+ERL/H:1/IND,TOTAL,24.0,875300.0,291767.0,0.0,1435.0,1167066.0,679.0,0.0,60.0,610.0,,,
BLZ,Belize,RES,CR-,CR/LFM/CDL+ERL/H:1/RES,TOTAL,1511.0,78922373.0,13927478.0,9241.0,116062.0,92849851.0,42298.0,1511.0,77.0,680.0,,,
BLZ,Belize,COM,CR-,CR/LFM/CDL+ERL/H:2/COM,TOTAL,240.0,27440359.0,4842417.0,0.0,34300.0,32282775.0,16825.0,0.0,143.0,800.0,,,
BLZ,Belize,RES,CR-,CR/LFM/CDL+ERL/H:2/RES,TOTAL,1268.0,119196435.0,21034666.0,9301.0,175289.0,140231102.0,63929.0,1521.0,138.0,680.0,,,
BLZ,Belize,RES,OT,INF/LN/CDN+ERN/H:1/RES,TOTAL,2331.0,48002192.0,12000549.0,15542.0,145461.0,60002741.0,15151.0,2331.0,62.0,330.0,,,
BLZ,Belize,COM,MR|MCF,MCF/LWAL/CDL+ERL/H:1/COM,TOTAL,1377.0,42424775.0,7486726.0,0.0,53031.0,49911499.0,25991.0,0.0,39.0,800.0,,,
BLZ,Belize,IND,MR|MCF,MCF/LWAL/CDL+ERL/H:1/IND,TOTAL,662.0,60596859.0,20198953.0,0.0,99339.0,80795812.0,46991.0,0.0,150.0,610.0,,,
BLZ,Belize,RES,MR|MCF,MCF/LWAL/CDL+ERL/H:1/RES,TOTAL,3871.0,426411692.0,75249121.0,23452.0,627076.0,501660812.0,228531.0,3871.0,162.0,680.0,,,
BLZ,Belize,COM,MR|MCF,MCF/LWAL/CDL+ERL/H:2/COM,TOTAL,1085.0,133642493.0,23583971.0,0.0,167053.0,157226463.0,81942.0,0.0,154.0,800.0,,,
BLZ,Belize,RES,MR|MCF,MCF/LWAL/CDL+ERL/H:2/RES,TOTAL,4572.0,906759220.0,160016333.0,33261.0,1333469.0,1066775553.0,486326.0,5487.0,292.0,680.0,,,
BLZ,Belize,COM,MR|MCF,MCF/LWAL/CDL+ERL/H:3/COM,TOTAL,453.0,125563002.0,22158178.0,0.0,156954.0,147721179.0,77052.0,0.0,346.0,800.0,,,
BLZ,Belize,RES,MR|MCF,MCF/LWAL/CDL+ERL/H:3/RES,TOTAL,1369.0,303336940.0,53530049.0,16695.0,446084.0,356866987.0,162809.0,2755.0,326.0,680.0,,,
BLZ,Belize,RES,MR|MCF,MR/LWAL/CDL+ERL/H:1/RES,TOTAL,3871.0,426411692.0,75249121.0,23452.0,627076.0,501660812.0,285968.0,3871.0,162.0,680.0,,,
BLZ,Belize,RES,MR|MCF,MR/LWAL/CDL+ERL/H:2/RES,TOTAL,4572.0,906759220.0,160016333.0,33261.0,1333469.0,1066775553.0,608455.0,5487.0,292.0,680.0,,,
