L4,POP,CITY,TIER
802995,163970,Proddatur,U3
802622,163630,Vapi,U3
800202,163397,Moga,U3
801991,163114,Rajnandgaon,U3
803224,162230,Robertson Pet,U3
803019,160722,Chittoor,U3
801051,160473,Banda,U3
800844,159285,Budaun,U3
801732,159147,Uttarpara Kotrung,U3
800149,158621,Batala,U3
803542,157101,Erode,U2
801318,156540,Saharsa,U3
800144,156306,Pathankot,U3
802310,155951,Vidisha,U3
800372,155152,Thanesar,U3
803174,155006,Hassan,U3
800568,154886,Kishangarh,U3
063988,154791,Dallo Pura,U3
800346,154554,Rudrapur,U3
802928,154326,Nalgonda,U3
801654,153279,Balurghat,U3
801682,153062,Krishnanagar,U3
801702,152783,Barrackpore,U3
802522,152760,Porbandar,U3
800900,151993,Lakhimpur,U3
801683,151777,Santipur,U3
803012,151677,Hindupur,U3
800571,151152,Beawar,U3
803138,151102,Bhadravati,U3
800455,150958,Hanumangarh,U3
800033,150592,Anantnag,U3
801939,150019,Raigarh,U3
801672,149220,Jamuria,U3
802445,148834,Bhuj,U3
801338,147688,Hajipur,U3
801397,147408,Sasaram,U3
801697,147221,Habra,U3
802964,146961,Bhimavaram,U3
802835,146709,Bid,U3
063957,146190,Burari ,U3
803120,145853,Chitradurga,U3
801586,145488,Dibrugarh,U3
800214,145302,Abohar,U3
803422,145278,Tiruvannamalai,U3
803141,144960,Udupi,U3
800375,144915,Kaithal,U3
801833,144373,Baleshwar,U3
802585,143644,Godhra,U3
801544,143229,Shillong,U3
800425,143021,Rewari,U3
800780,143020,Hathras,U3
801788,142489,Hazaribag,U3
802139,142128,Chhatarpur,U3
802211,141667,Mandsaur,U3
801778,141640,Chas,U3
802450,141592,Palanpur,U3
803697,140156,Kumbakonam,U3
802618,139764,Valsad,U3
802167,139561,Damoh,U3
803221,138462,Kolar,U3
802942,137944,Srikakulam,U3
801733,137386,Bankura,U3
803168,137358,Mandya,U3
801398,137231,Dehri,U3
800824,136557,Mainpuri,U3
800270,135424,Malerkotla,U3
801329,135066,Siwan,U3
802475,134426,Kalol,U3
802456,133737,Patan,U3
801035,133305,Lalitpur,U3
800503,133075,Dhaulpur,U3
802716,132813,Gondiya,U3
801700,132806,North Barrackpore,U3
801281,132209,Bettiah,U3
800437,131926,Palwal,U3
803275,130955,Palakkad,U3
803787,130442,Rajapalayam,U3
802548,130327,Botad,U3
800730,130325,Modinagar,U3
801693,129576,Kanchrapara,U3
801175,129479,Deoria,U3
801673,129441,Raniganj,U3
802200,128561,Neemuch,U3
800191,128137,Khanna,U3
800877,127988,Pilibhit,U3
063973,127167,Mustafabad,U3
801595,126736,Jorhat,U3
803007,126270,Guntakal,U3
802261,126200,Pithampur,U3
801285,126158,Motihari,U3
803256,125564,Kanhangad,U3
801681,125543,Nabadwip,U3
802064,125463,Jagdalpur,U3
801718,125254,Basirhat,U3
801692,124939,Halisahar,U3
800368,124894,Jagadhri,U3
801729,124577,Rishra,U3
803989,123667,Kurichi,U3
801457,122834,Dimapur,U3
803010,121874,Dharmavaram,U3
063979,121870,Gokal Pur,U3
801563,121628,Nagaon,U3
800339,121623,Kashipur,U3
801698,121592,Ashokenagar Kalyangarh,U3
801835,121338,Bhadrak,U3
800762,121207,Khurja,U3
801727,121110,Baidyabati,U3
800509,121106,Sawai Madhopur,U3
801927,121071,Ambikapur,U3
801738,121067,Puruliya,U3
801222,121020,Ghazipur,U3
063982,120417,Mandoli,U3
802869,120195,Satara,U3
800468,120157,Churu,U3
803337,119105,Madavaram,U3
800508,119090,Gangapur City,U3
306882,119040,Dabgram,U3
802590,118846,Dohad,U3
801634,118805,Darjiling,U3
802855,118722,Barshi,U3
801262,118517,Etah,U3
800476,118473,Jhunjhunun,U3
803149,118401,Chikmagalur,U3
802508,118302,Jetpur Navagadh,U3
800353,118200,Roorkee,U3
802970,118167,Gudivada,U3
800615,117992,Baran,U3
802346,117988,Hoshangabad,U3
802542,117967,Amreli,U3
803718,117630,Pudukkottai,U3
802979,117489,Narasaraopet,U3
802896,117167,Adilabad,U3
801828,116849,Baripada,U3
803951,116821,Hosur,U3
800217,116747,Muktsar,U3
802727,116551,Yavatmal,U3
801703,116541,Titagarh,U3
800281,116449,Barnala,U3
800605,116406,Chittaurgarh,U3
801583,116322,Tinsukia,U3
802284,116150,Khargone,U3
801713,114786,Dum Dum,U3
801147,114657,Basti,U3
803072,114642,Gangawati,U3
803406,114608,Ambur,U3
801768,114533,Giridih,U3
800689,114383,Chandausi,U3
801134,114046,Gonda,U3
332836,113377,Bally,U3
801279,112634,Bagaha,U3
802685,112311,Achalpur,U3
802504,112197,Gondal,U3
803048,111933,Bagalkot,U3
802848,111825,Osmanabad,U3
801116,111447,Akbarpur,U3
801726,111251,Champdani,U3
802451,111160,Deesa,U3
802642,111037,Nandurbar,U3
801189,110983,Azamgarh,U3
800443,110351,Delhi Cantonment,U3
800207,110313,Firozpur,U3
801227,109650,Mughalsarai,U3
802314,109118,Sehore,U3
801691,108864,Bongaon,U3
801006,108534,Kanpur,U3
801704,108496,Khardah,U3
803008,108171,Tadpatri,U3
804041,108058,Port Blair,U3
801119,107640,Sultanpur,U3
800819,107404,Shikohabad,U3
801640,107341,Jalpaiguri,U3
800645,107266,Shamli,U3
802976,107197,Mangalagiri,U3
802927,106805,Suryapet,U3
803733,106714,Karaikkudi,U3
802696,106444,Wardha,U3
803107,106406,Ranibennur,U3
801310,105782,Kishanganj,U3
636738,105731,Neyveli,U3
800506,105452,Hindaun,U3
801358,105434,Jamalpur,U3
800535,105218,Nagaur,U3
800367,104974,Ambala Sadar,U3
800487,104921,Bhiwadi,U3
800587,104919,Bundi,U3
802929,104918,Miryalaguda,U3
801206,104424,Ballia,U3
802961,104032,Tadepalligudem,U3
802908,103930,Jagtial,U3
801720,103920,Bansberia,U3
800723,103764,Baraut,U3
802844,103550,Udgir,U3
802335,103330,Betul,U3
801413,103202,Jehanabad,U3
803674,102905,Nagapattinam,U3
801391,102861,Buxar,U3
802393,102343,Seoni,U3
801401,102244,Aurangabad,U3
120347,102054,Greater Noida,U3
802699,101805,Hinganghat,U3
802052,101677,Dhamtari,U3
800473,101523,Sujangarh,U3
801725,101477,Bhadreswar,U3
802980,101398,Chilakaluripet,U3
803269,101386,Malappuram,U3
801269,101277,Kasganj,U3
800601,101017,Banswara,U3
801689,100575,Kalyani,U3
801421,100286,Gangtok,U3
802109,100284,Datia,U3
802225,100039,Nagda,U3
801361,99979,Lakhisarai,U3
802345,99330,Itarsi,U3
802567,99164,Khambhat,U3
801466,99039,Kohima,U3
802857,98923,Pandharpur,U3
800155,98916,Kapurthala,U3
802557,98519,Mahuva,U3
802639,98265,Silvassa,U3
801890,98238,Balangir,U3
801407,98029,Nawada,U3
802007,98008,Bhilai Charoda,U3
800158,97864,Phagwara,U3
801808,97730,Jharsuguda,U3
063968,97641,Sadat Pur Gujran,U3
802659,97551,Chalisgaon(M Cl),U3
803268,97102,Manjeri,U3
800637,97037,Deoband,U3
802033,96294,Birgaon,U3
803431,96253,Viluppuram,U3
800550,96225,Barmer,U3
063947,96002,Pooth Kalan,U3
802656,95994,Amalner,U3
803990,95924,Kuniyamuthur,U3
800466,95911,Sardarshahar,U3
802482,95890,Sanand,U3
801657,95706,Dhulian,U3
803805,95579,Paramakudi,U3
800267,95553,Zirakpur,U3
801113,95516,Tanda,U3
803484,95335,Tiruchengode,U3
800668,95246,Nagina,U3
801048,95216,Mahoba,U3
800732,95208,Muradnagar,U3
801688,95203,Chakdaha,U3
803238,95167,Ramanagara,U3
803001,95149,Yemmiganur,U3
803404,95061,Vaniyambadi,U3
803814,95057,Kovilpatti,U3
801731,94936,Dankuni,U3
801239,94620,Bhadohi,U3
800540,94487,Makrana,U3
803769,94453,Theni Allinagaram,U3
803248,94393,Mormugao,U3
802666,94191,Khamgaon,U3
802260,93917,Dhar,U3
800717,93312,Meerut,U3
800665,93297,Bijnor,U3
803233,93105,Dod Ballapur,U3
802987,92942,Chirala,U3
802674,92637,Akot,U3
800525,92595,Fatehpur,U3
803263,92558,Thalassery,U3
063986,92540,Gharoli,U3
800245,92301,Rajpura,U3
801762,92226,Contai,U3
800220,91979,Kot Kapura,U3
802713,91845,Bhandara,U3
803375,91558,Gudiyatham,U3
064085,91402,Molar Band,U3
802999,91234,Rayachoti,U3
800740,91189,Dadri,U3
802838,90975,Parli,U3
803272,90491,Ponnani,U3
803843,90364,Kadayanallur,U3
804002,90180,Pollachi,U3
802990,90099,Kavali,U3
802902,89935,Mancherial,U3
803756,89635,Avaniapuram,U3
802608,89457,Anklesvar,U3
802724,89452,Ballarpur,U3
803011,89429,Kadiri,U3
802826,89282,Shrirampur,U3
801777,89178,Phusro,U3
800642,89000,Kairana,U3
801789,88781,Ramgarh Cantonment,U3
800661,88535,Najibabad,U3
802899,88433,Nirmal,U3
803564,88430,Udhagamandalam,U3
801772,88214,Sahibganj,U3
801658,88165,Jangipur,U3
800273,88043,Sangrur,U3
802313,87882,Kolar,U3
801767,87867,Jhumri Tilaiya,U3
800992,87736,Auraiya,U3
803801,87722,Aruppukkottai,U3
800219,87695,Faridkot,U3
803249,87650,Margao,U3
804024,87427,Velampalayam,U3
801411,87357,Jamui,U3
802444,87183,Anjar,U3
804040,86838,Karaikal,U3
802708,86793,Kamptee,U3
800407,86770,Hansi,U3
802413,86681,Shahdol,U3
802949,86519,Anakapalle,U3
803329,86195,Maduravoyal,U3
802338,86141,Sarni,U3
800511,85960,Dausa,U3
803670,85632,Mayiladuthurai,U3
801699,85336,Garulia,U3
801916,85317,Chirmiri,U3
802748,85103,Hingoli,U3
800978,84862,Kannauj,U3
801906,84830,Jeypur,U3
802507,84545,Dhoraji,U3
803541,84453,Veerappanchatiram,U3
802397,84261,Balaghat,U3
800941,84072,Gangaghat,U3
800055,84015,Udhampur,U3
801655,84012,Old Malda,U3
803981,83908,Goundampalayam,U3
800736,83736,Pilkhuwa,U3
800677,83441,Chandpur,U3
803124,83219,Harihar,U3
063989,83217,Chilla Saroda Bangar,U3
802912,83186,Sircilla,U3
800507,82960,Karauli,U3
800236,82956,Mansa,U3
341706,82735,Kharagpur Rly. Settlement,U3
801129,82488,Balrampur,U3
800187,82266,Gobindgarh,U3
369010,81915,Saunda,U3
803362,81872,Maraimalainagar,U3
802408,81828,Ashoknagar,U3
801374,81740,Phulwari Sharif,U3
802275,81702,Mhow Cantt,U3
801675,81615,Katwa,U3
801096,81486,Nawabganj,U3
800713,81443,Mawana,U3
800215,81406,Malout,U3
802465,81404,Kadi,U3
802615,81245,Vijalpor,U3
802966,81199,Palacole,U3
802469,81137,Himatnagar,U3
800746,81028,Sikandrabad,U3
802486,80945,Dholka,U3
801805,80625,Bargarh,U3
553513,80612,Kharghar,U3
801807,80403,Brajarajnagar,U3
802906,80315,Kamareddy,U3
800915,80226,Shahabad,U3
801669,80210,Bolpur,U3
802933,80199,Palwancha,U3
802774,80058,Manmad,U3
803013,80056,Srikalahasti,U3
802934,79819,Kothagudem,U3
803030,79121,Gokak,U3
802130,79106,Tikamgarh,U3
801307,79021,Araria,U3
802815,78684,Kirkee,U3
801786,78396,Medininagar,U3
803387,78395,Arakonam,U3
802681,78387,Washim,U3
363453,78356,Bagbera,U3
802545,78354,Savarkundla,U3
802308,78289,Basoda,U3
800873,78249,Faridpur,U3
802963,77962,Tanuku,U3
801646,77935,Koch Bihar,U3
800146,77928,Gurdaspur,U3
627979,77811,Edathala,U3
802905,77573,Bodhan,U3
803090,77139,Karwar,U3
803042,77004,Rabkavi Banhatti,U3
802644,76905,Shirpur-Warwade,U3
801709,76846,New Barrackpore,U3
801744,76837,Budge Budge,U3
802461,76753,Visnagar,U3
063976,76640,Khajoori Khas,U3
629385,76600,Oggiyamduraipakkam,U3
800213,76492,Fazilka,U3
802875,76229,Ratnagiri,U3
802531,76193,Keshod,U3
801730,76172,Konnagar,U3
801071,76133,Bela Pratapgarh,U3
803231,76068,Chintamani,U3
803354,75870,Pammal,U3
803069,75837,Sindhnur,U3
802494,75755,Wadhwan,U3
801299,75736,Madhubani,U3
803760,75675,Bodinayakanur,U3
801572,75540,Tezpur,U3
803794,75396,Srivilliputhur,U3
801686,75365,Ranaghat,U3
801320,75317,Benipur,U3
803265,75295,Vadakara,U3
802491,75133,Dhrangadhra,U3
802216,74907,Jaora,U3
801536,74858,Tura,U3
800423,74581,Narnaul,U3
800549,74496,Balotra,U3
800263,74460,Kharar,U3
803219,74294,Yadgir,U3
802342,74268,Harda,U3
064059,74073,Kapas Hera,U3
802992,74037,Gudur,U3
802839,73975,Ambejogai,U3
063922,73680,Bawana,U3
803664,73585,Virudhachalam,U3
800879,73551,Bisalpur,U3
803544,73425,Kasipalayam ,U3
803711,73135,Pattukkottai,U3
802730,73046,Pusad,U3
800656,72949,Khatauli,U3
803427,72796,Tindivanam,U3
802647,72783,Chopda,U3
803258,72465,Taliparamba,U3
802917,72344,Sangareddy,U3
803798,72296,Virudhunagar,U3
802360,72261,Jabalpur Cantt,U3
803257,72111,Payyannur,U3
802079,71951,Sheopur,U3
803239,71942,Channapatna,U3
803266,71873,Quilandy,U3
802813,71781,Pune,U3
801343,71660,Barauni,U3
803482,71594,Kumarapalayam,U3
800006,71434,Baramula,U3
803954,71323,Krishnagiri,U3
800003,71292,Sopore,U3
801899,71208,Rayagada,U3
802915,71166,Zahirabad,U3
802799,71141,Khopoli,U3
800469,71124,Ratangarh,U3
802986,71092,Markapur,U3
803797,71040,Sivakasi,U3
