CONTINENT,GEM_REGION,ISO3,COUNTRY,ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,ISO3_NUMERIC,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,COST_BDG_USD
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,COM,MUR,10248,4382351.0,23980.0,332400013.0,332400013.0,664800038.0,0.0,0.0,1329600077.0,997200051.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,COM,RC,4270,454762.0,1217.0,62205683.0,82940915.0,62205683.0,0.0,0.0,207352280.0,145146598.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,IND,MCF,1708,354183.0,1237.0,39460816.0,28186294.0,45098078.0,0.0,0.0,112745188.0,73284372.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,IND,MUR,6832,12082231.0,42380.0,795412781.0,530275186.0,1325687977.0,0.0,0.0,2651375923.0,1855963163.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,IND,RC,1708,354183.0,1237.0,59959940.0,39973295.0,33311081.0,0.0,0.0,133244312.0,73284376.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,IND,S,3416,4263537.0,14970.0,588115529.0,514601084.0,367572205.0,0.0,0.0,1470288815.0,882173289.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,RES,ADO/E,4270,152754815.0,2214570.0,4733183947.0,5916479927.0,13016255838.0,2263161.0,13123165.0,23665919715.0,18932735765.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,RES,MCF,2562,4743059.0,53626.0,282976101.0,424464154.0,707440245.0,59499.0,328645.0,1414880492.0,1131904399.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,RES,MUR,10248,54172303.0,644168.0,1049442730.0,3148328214.0,6296656440.0,682113.0,3815467.0,10494427386.0,9444984654.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,RES,OT,854,148531.0,2475.0,2105445.0,2631807.0,5789974.0,2475.0,14502.0,10527226.0,8421781.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,RES,RC,4270,5729177.0,43411.0,257092361.0,856974528.0,599882167.0,59501.0,328645.0,1713949054.0,1456856695.0
Africa,Africa,BFA,Burkina_Faso,BFA,Burkina Faso,RES,W,2562,40384759.0,562228.0,1158096762.0,1449726397.0,3140551748.0,566413.0,3284424.0,5748374904.0,4590278145.0
Africa,Africa,BWA,Botswana,BWA,Botswana,COM,ADO/E,216,617503.0,3401.0,78799432.0,65666192.0,118199138.0,0.0,0.0,262664763.0,183865330.0
Africa,Africa,BWA,Botswana,BWA,Botswana,COM,MCF,216,323061.0,1308.0,70250531.0,70250531.0,93667373.0,0.0,0.0,234168439.0,163917904.0
Africa,Africa,BWA,Botswana,BWA,Botswana,COM,MUR,504,1862095.0,10194.0,297018136.0,247515109.0,445527221.0,0.0,0.0,990060488.0,693042330.0
Africa,Africa,BWA,Botswana,BWA,Botswana,COM,RC,360,477435.0,704.0,136402781.0,155888889.0,97430560.0,0.0,0.0,389722226.0,253319449.0
Africa,Africa,BWA,Botswana,BWA,Botswana,COM,W,216,8426.0,53.0,1956603.0,1956603.0,978303.0,0.0,0.0,4891508.0,2934906.0
Africa,Africa,BWA,Botswana,BWA,Botswana,IND,MCF,144,119088.0,420.0,26784881.0,16740556.0,23436775.0,0.0,0.0,66962208.0,40177331.0
Africa,Africa,BWA,Botswana,BWA,Botswana,IND,MUR,288,886078.0,3100.0,120730652.0,68988936.0,155225124.0,0.0,0.0,344944718.0,224214060.0
Africa,Africa,BWA,Botswana,BWA,Botswana,IND,RC,144,119088.0,420.0,40177326.0,24106396.0,16070931.0,0.0,0.0,80354651.0,40177327.0
Africa,Africa,BWA,Botswana,BWA,Botswana,IND,S,288,370460.0,1319.0,102260410.0,79535872.0,45449068.0,0.0,0.0,227245344.0,124984940.0
Africa,Africa,BWA,Botswana,BWA,Botswana,RES,ADO/E,360,11346004.0,143021.0,815110386.0,815110386.0,1630220765.0,149776.0,525881.0,3260441530.0,2445331151.0
Africa,Africa,BWA,Botswana,BWA,Botswana,RES,MCF,216,4863655.0,43818.0,687950865.0,825541039.0,1238311557.0,60126.0,203923.0,2751803462.0,2063852596.0
Africa,Africa,BWA,Botswana,BWA,Botswana,RES,MUR,720,29702384.0,353213.0,1494364969.0,2988729948.0,5479338229.0,373998.0,1287547.0,9962433147.0,8468068177.0
Africa,Africa,BWA,Botswana,BWA,Botswana,RES,OT,144,1161746.0,19366.0,35802136.0,35802136.0,71604280.0,19366.0,66775.0,143208554.0,107406416.0
Africa,Africa,BWA,Botswana,BWA,Botswana,RES,RC,360,5067711.0,21969.0,639598946.0,1598997363.0,959398422.0,60132.0,203917.0,3197994728.0,2558395785.0
Africa,Africa,BWA,Botswana,BWA,Botswana,RES,W,360,1354527.0,18160.0,101790280.0,106384066.0,162236429.0,18396.0,63302.0,370410769.0,268620495.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,COM,ADO/E,420,1996345.0,10928.0,67513585.0,67513585.0,135027159.0,0.0,0.0,270054327.0,202540744.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,COM,MCF,560,24056.0,152.0,1345652.0,1614786.0,2422176.0,0.0,0.0,5382616.0,4036962.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,COM,MUR,1400,771261.0,4296.0,32432518.0,32432518.0,64865033.0,0.0,0.0,129730064.0,97297551.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,COM,RC,1120,55925.0,184.0,4153588.0,5538110.0,4153588.0,0.0,0.0,13845291.0,9691698.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,COM,W,420,435913.0,2181.0,28063927.0,32073059.0,20045656.0,0.0,0.0,80182649.0,52118715.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,IND,MCF,420,13713.0,66.0,848848.0,606315.0,970112.0,0.0,0.0,2425286.0,1576427.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,IND,MUR,980,828422.0,2926.0,30528169.0,20352112.0,50880279.0,0.0,0.0,101760559.0,71232391.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,IND,RC,420,35135.0,144.0,3304639.0,2203090.0,1835911.0,0.0,0.0,7343636.0,4039001.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,IND,S,560,293675.0,1069.0,22506190.0,19692915.0,14066368.0,0.0,0.0,56265481.0,33759283.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,RES,ADO/E,700,29369261.0,377508.0,545978489.0,682473112.0,1501440855.0,393930.0,1924381.0,2729892451.0,2183913967.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,RES,MCF,840,686542.0,7796.0,22719540.0,34079304.0,56798840.0,8604.0,46618.0,113597686.0,90878144.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,RES,MUR,1680,17603346.0,209381.0,188954834.0,566864500.0,1133728992.0,221637.0,1116069.0,1889548315.0,1700593492.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,RES,OT,280,1536705.0,25615.0,12101502.0,15126870.0,33279121.0,25615.0,124296.0,60507496.0,48405991.0
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,RES,RC,1400,1661493.0,12611.0,41382752.0,137942525.0,96559770.0,17244.0,93305.0,275885051.0,234502295.0
