ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
PER,Peru,Res,8015201.0,156763639916.7239,190569015663.56458,284562495461.4354,9365323.383,33359833.546635065,4320391197557.808,631895151041.7239,539024.685414353,0.1462587812415959
SUR,Suriname,Com,2847.6,119184766.48351648,123863406.59340659,119091593.40659341,0.0,0.0,546648.75,362139766.4835165,191.9682364096081,662.4725044802838
SUR,Suriname,Ind,2168.0,139321562.5,87767500.0,73704687.5,0.0,0.0,496837.5,300793750.0,229.1685885608856,605.4167610134098
SUR,Suriname,Res,42592.86401099999,484650341.22017,506821104.59650004,1100426938.94572,42592.86401099999,586574.127110165,4416459.281329917,2091898384.8291,103.69012236860443,473.6596109178147
URY,Uruguay,Com,26240.399999423,3630689661.059246,3783604701.947184,3615827001.199536,0.0,0.0,7199447.062340965,11030121364.30699,274.36498919602116,1532.0789595083775
URY,Uruguay,Ind,22439.0,4468955769.230769,2811428653.8461537,2367621346.1538463,0.0,0.0,6905400.0,9648005769.230768,307.7409866749855,1397.1682696485025
URY,Uruguay,Res,452337.17649000004,14280542215.03443,18732140279.67733,30590830264.04634,452337.17649000004,3485311.31202187,62850766.51192209,63603512758.77915,138.94671890474507,1011.9767234137753
VEN,Venezuela,Com,289909.799999744,22571819886.35607,23491221023.2817,19218856889.076332,0.0,0.0,67436965.12480064,65281897798.64624,232.61360990508146,968.0432338233761
VEN,Venezuela,Ind,190799.0,29691422436.13055,19656688152.654568,14258796348.77825,0.0,0.0,59500850.0,63606906937.6336,311.85095309723846,1069.0083744624421
VEN,Venezuela,Res,6636209.0,90824505882.31966,105071858231.77345,198544377306.95126,7355137.900003343,28700452.779444322,1496282837024.8904,394440741422.73834,225472.53063079997,0.263613757815346
